"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"judge","/dʒʌdʒ/","n. 【常见】法官；裁判；v. 【常见】判断；审判","原生基础词，源自拉丁语 iudicare（审判），无词根拆分","The judge made a decision.","法官做出了判决。"
"window","/ˈwɪndəʊ/","n. 【常见】窗户；窗口；橱窗","原生基础词，古英语 windōge（风+眼），无词根拆分","Please open the window.","请打开窗户。"
"hungry","/ˈhʌŋɡri/","adj. 【常见】饥饿的；渴望的","hunger（饥饿）+ 后缀-y（形容词后缀）","I'm hungry.","我饿了。"
"dare","/deə(r)/","v. 【常见】敢于；向…挑战；n. 【常见】挑战","原生基础词，古英语 durran（敢于），无词根拆分","I dare you to try.","我量你也不敢试。"
"relationship","/rɪˈleɪʃnʃɪp/","n. 【常见】关系；联系；恋爱关系","relate（关联）+ 后缀-tion（名词）+ 后缀-ship（关系）","They have a good relationship.","他们关系很好。"
"moved","/muːvd/","v. 【常见】移动；感动（move 的过去式及过去分词）","move（移动）+ 后缀-ed（过去式/过去分词后缀）","I was deeply moved.","我被深深感动了。"
"prove","/pruːv/","v. 【常见】证明；证实；结果是","原生基础词，源自拉丁语 probare（测试），无词根拆分","I will prove it.","我会证明的。"
"private","/ˈpraɪvət/","adj. 【常见】私人的；私有的；n. 【常见】士兵","原生基础词，源自拉丁语 privatus（个人的），无词根拆分","This is private property.","这是私有财产。"
"wall","/wɔːl/","n. 【常见】墙；墙壁；围墙；v. 【常见】用墙围住","原生基础词，源自拉丁语 vallum（防御工事），无词根拆分","The picture is on the wall.","画在墙上。"
"seat","/siːt/","n. 【常见】座位；席位；v. 【常见】使就座","原生基础词，古英语 sǣte（座位），无词根拆分","Please take a seat.","请坐下。"
"i-i","/aɪ/","pron. 【常见】我（表示犹豫或结巴）","I 的重叠形式，无词根拆分","I-I don't know what to say.","我…我不知道该说什么。"
"position","/pəˈzɪʃn/","n. 【常见】位置；职位；立场；v. 【常见】放置","前缀pos-（放置）+ 后缀-ition（名词后缀）","What is your position?","你的立场是什么？"
"lieutenant","/lefˈtenənt/","n. 【常见】中尉；副职官员","源自法语 lieu（位置）+ tenant（持有），无词根拆分","He is a lieutenant.","他是一名中尉。"
"realize","/ˈriːəlaɪz/","v. 【常见】实现；认识到；了解","real（真实的）+ 后缀-ize（动词后缀）","I didn't realize that.","我没有意识到那点。"
"lt","/ˈelˈtiː/","n. 【常见】中尉（lieutenant 的缩写）","lieutenant 的缩写，无词根拆分","Lt. Smith is in charge.","史密斯中尉在负责。"
"especially","/ɪˈspeʃəli/","adv. 【常见】尤其；特别；格外","especial（特别的）+ 后缀-ly（副词后缀）","I love this song, especially the lyrics.","我喜欢这首歌，尤其是歌词。"
"machine","/məˈʃiːn/","n. 【常见】机器；机械；v. 【常见】用机器制造","原生基础词，源自希腊语 mēkhanē（装置），无词根拆分","The machine is broken.","机器坏了。"
"walking","/ˈwɔːkɪŋ/","v. 【常见】步行（walk 的现在分词）","walk（步行）+ 后缀-ing（现在分词后缀）","I'm walking to school.","我步行去学校。"
"art","/ɑːt/","n. 【常见】艺术；美术；技术；技艺","原生基础词，源自拉丁语 ars（技艺、艺术），无词根拆分","She is studying art.","她在学习艺术。"
"pleasure","/ˈpleʒə(r)/","n. 【常见】愉快；快乐；乐事；v. 【常见】使高兴","please（使高兴）+ 后缀-ure（名词后缀）","It's a pleasure to meet you.","很高兴认识你。"
