"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"sound","/saʊnd/","n. 【常见】声音；v. 【常见】听起来；adj. 【常见】健全的；合理的","原生基础词，源自拉丁语 sonus（声音），无词根拆分","That sounds good.","那听起来不错。"
"top","/tɒp/","n. 【常见】顶部；顶端；adj. 【常见】最高的；v. 【常见】超过","原生基础词，古英语 topp（顶部），无词根拆分","She is at the top of her class.","她是班上的第一名。"
"ass","/æs/","n. 【常见】笨蛋；屁股（粗俗语）；n. 【常见】驴","原生基础词，古英语 assa（驴），无词根拆分","He is such an ass.","他真是个笨蛋。"
"laughs","/lɑːfs/","v. 【常见】笑（laugh 的第三人称单数）；n. 【常见】笑声（laugh 的复数）","laugh（笑）+ 后缀-s（第三人称单数/复数后缀）","She laughs at my jokes.","她听了我的笑话笑了。"
"cannot","/ˈkænɒt/","v. 【常见】不能（can not 的正式形式）","can（能）+ not（不）","I cannot believe it.","我不能相信。"
"asking","/ˈɑːskɪŋ/","v. 【常见】问；请求（ask 的现在分词）","ask（问）+ 后缀-ing（现在分词后缀）","I'm asking for help.","我在请求帮助。"
"win","/wɪn/","v. 【常见】赢；获胜；n. 【常见】胜利","原生基础词，古英语 winnan（努力、战斗），无词根拆分","I want to win.","我想赢。"
"glad","/ɡlæd/","adj. 【常见】高兴的；乐意的；n. 【常见】高兴","原生基础词，古英语 glæd（明亮的、快乐的），无词根拆分","I'm glad to see you.","我很高兴见到你。"
"control","/kənˈtrəʊl/","v. 【常见】控制；管理；n. 【常见】控制；权力","前缀con-（共同）+ 词根trol-（轮子），原指"核对账目"","You need to control your temper.","你需要控制你的脾气。"
"hmm","/hm/","int. 【常见】嗯（表示思考、犹豫或怀疑）","原生基础词，拟声词，无词根拆分","Hmm, let me think.","嗯，让我想想。"
"human","/ˈhjuːmən/","n. 【常见】人；人类；adj. 【常见】人的；人类的","原生基础词，源自拉丁语 humanus，无词根拆分","Humans are social animals.","人是社会性动物。"
"drive","/draɪv/","v. 【常见】驾驶；驱赶；推动；n. 【常见】驾驶；驱动器","原生基础词，古英语 drīfan（推动），无词根拆分","I drive to work.","我开车去上班。"
"hair","/heə(r)/","n. 【常见】头发；毛发；毛","原生基础词，古英语 hēr，无词根拆分","She has long hair.","她有长头发。"
"jack","/dʒæk/","n. 【常见】杰克（男子名）；n. 【常见】千斤顶；v. 【常见】抬起；增加","原生基础词，源自法语 Jacques（雅克），无词根拆分","Jack is my friend.","杰克是我的朋友。"
"bitch","/bɪtʃ/","n. 【常见】母狗；讨厌的女人；v. 【常见】抱怨（俚语）","原生基础词，古英语 bicce（母狗），无词根拆分","Stop bitching about it.","别抱怨了。"
"luck","/lʌk/","n. 【常见】运气；好运；v. 【常见】靠运气","原生基础词，源自荷兰语 luk（运气），无词根拆分","Good luck!","祝你好运！"
"murder","/ˈmɜːdə(r)/","n. 【常见】谋杀；v. 【常见】谋杀；扼杀","原生基础词，古英语 morþor（谋杀），无词根拆分","He was charged with murder.","他被指控谋杀。"
"happens","/ˈhæpənz/","v. 【常见】发生（happen 的第三人称单数）","happen（发生）+ 后缀-s（第三人称单数后缀）","It happens all the time.","这种事经常发生。"
"air","/eə(r)/","n. 【常见】空气；天空；气氛；v. 【常见】晾干；播放","原生基础词，源自拉丁语 āēr（空气），无词根拆分","I need fresh air.","我需要新鲜空气。"
"ten","/ten/","num. 【常见】十；十个","原生基础词，古英语 tīen，无词根拆分","Ten students are here.","十个学生在这里。"
