"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"couple","/ˈkʌpl/","n. 【常见】一对；夫妻；几个；v. 【常见】连接；结合","原生基础词，源自拉丁语 copula（连接），无词根拆分","They are a lovely couple.","他们是一对可爱的夫妻。"
"half","/hɑːf/","n. 【常见】一半；adj. 【常见】一半的；adv. 【常见】一半地","原生基础词，古英语 healf，无词根拆分","Half of the apples are red.","一半的苹果是红色的。"
"died","/daɪd/","v. 【常见】死（die 的过去式及过去分词）","die（死）+ 后缀-ed（过去式/过去分词后缀）","He died in 2020.","他于2020年去世。"
"cool","/kuːl/","adj. 【常见】凉的；酷的；冷静的；v. 【常见】冷却；使冷静","原生基础词，古英语 cōl，无词根拆分","You look cool in that jacket.","你穿那件夹克很酷。"
"free","/friː/","adj. 【常见】自由的；免费的；空闲的；v. 【常见】使自由","原生基础词，古英语 frēo（自由的），无词根拆分","This coffee is free.","这杯咖啡是免费的。"
"either","/ˈaɪðə(r)/","conj. 【常见】或者；pron. 【常见】（两者中）任何一个","原生基础词，古英语 ǣgðer（两者都），无词根拆分","You can take either one.","你可以拿任何一个。"
"seems","/siːmz/","v. 【常见】似乎（seem 的第三人称单数）","seem（似乎）+ 后缀-s（第三人称单数后缀）","He seems happy.","他似乎很开心。"
"power","/ˈpaʊə(r)/","n. 【常见】力量；权力；电力；能力；v. 【常见】使…有力量","原生基础词，源自拉丁语 posse（能够），无词根拆分","Knowledge is power.","知识就是力量。"
"whoa","/wəʊ/","int. 【常见】哇；咳（表示惊讶、警告或止步）","原生基础词，拟声词，无词根拆分","Whoa! That's huge!","哇！好大！"
"bye","/baɪ/","int. 【常见】再见（非正式）","goodbye 的缩写形式，无词根拆分","Bye, see you later.","再见，回头见。"
"buy","/baɪ/","v. 【常见】买；购买；获得；n. 【常见】购买","原生基础词，古英语 bycgan，无词根拆分","I buy some fruit.","我买了一些水果。"
"telling","/ˈtelɪŋ/","v. 【常见】告诉（tell 的现在分词）；adj. 【常见】有力的；显著的","tell（告诉）+ 后缀-ing（现在分词后缀）","I'm telling you the truth.","我在告诉你真相。"
"honey","/ˈhʌni/","n. 【常见】蜂蜜；亲爱的（昵称）；adj. 【常见】甜蜜的","原生基础词，古英语 hunig，无词根拆分","I love you, honey.","我爱你，亲爱的。"
"tried","/traɪd/","v. 【常见】尝试（try 的过去式及过去分词）；adj. 【常见】可靠的；考验过的","try（尝试）+ 后缀-ed（过去式/过去分词后缀）","I tried my best.","我尽力了。"
"front","/frʌnt/","n. 【常见】前面；正面；前线；adj. 【常见】前面的；v. 【常见】面对","原生基础词，源自拉丁语 frons（前额），无词根拆分","Please go to the front.","请到前面去。"
"team","/tiːm/","n. 【常见】队；组；团队；v. 【常见】合作","原生基础词，古英语 tēam（后代、伙伴），无词根拆分","We are a strong team.","我们是一支强大的团队。"
"answer","/ˈɑːnsə(r)/","v. 【常见】回答；回复；n. 【常见】答案；回答","原生基础词，古英语 andswaru（回应），无词根拆分","Please answer my question.","请回答我的问题。"
"gun","/ɡʌn/","n. 【常见】枪；炮；v. 【常见】用枪射击","原生基础词，无词根拆分","He has a gun.","他有一把枪。"
"boys","/bɔɪz/","n. 【常见】男孩们（boy 的复数）","boy（男孩）+ 后缀-s（复数后缀）","The boys are playing soccer.","男孩们在踢足球。"
"line","/laɪn/","n. 【常见】线；线条；排；路线；v. 【常见】排队；划线","原生基础词，源自拉丁语 linea（线），无词根拆分","Stand in line, please.","请排队站好。"
