"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"dad","/dæd/","n. 【常见】爸爸；爹爹","原生基础词，儿童用语，无词根拆分","My dad is a doctor.","我爸爸是医生。"
"enough","/ɪˈnʌf/","adv. 【常见】足够地；充分地；adj. 【常见】足够的","原生基础词，古英语 ġenōg，无词根拆分","I have enough money.","我有足够的钱。"
"happened","/ˈhæpənd/","v. 【常见】发生（happen 的过去式及过去分词）","happen（发生）+ 后缀-ed（过去式/过去分词后缀）","What happened to you?","你发生什么事了？"
"came","/keɪm/","v. 【常见】来（come 的过去式）","原生基础词，古英语 cōm（come的过去式），无词根拆分","She came to my house.","她来我家了。"
"may","/meɪ/","aux. 【常见】可能；可以；也许；v. 【常见】祝","原生基础词，古英语 mæg（能够），无词根拆分","May I come in?","我可以进来吗？"
"mother","/ˈmʌðə(r)/","n. 【常见】母亲；妈妈；v. 【常见】像母亲般照顾","原生基础词，古英语 mōdor，无词根拆分","My mother loves me.","我妈妈爱我。"
"wrong","/rɒŋ/","adj. 【常见】错误的；不对的；adv. 【常见】错误地；n. 【常见】错误；过失","原生基础词，古英语 wrang（歪曲的），无词根拆分","You are wrong.","你错了。"
"world","/wɜːld/","n. 【常见】世界；地球；领域；世人","原生基础词，古英语 weorold（人+时代），无词根拆分","She wants to travel around the world.","她想环游世界。"
"bad","/bæd/","adj. 【常见】坏的；差的；严重的；adv. 【常见】坏地","原生基础词，古英语 bæddel（雌雄同体者），无词根拆分","This food smells bad.","这食物闻起来坏了。"
"might","/maɪt/","aux. 【常见】可能；也许（may 的过去式）；n. 【常见】力量；威力","原生基础词，古英语 meahte（may的过去式），无词根拆分","He might come tomorrow.","他明天可能会来。"
"three","/θriː/","num. 【常见】三；三个","原生基础词，古英语 þrīe，无词根拆分","She has three cats.","她有三只猫。"
"today","/təˈdeɪ/","n. 【常见】今天；当今；adv. 【常见】在今天；现今","to（到）+ day（日子）","Today is Monday.","今天是星期一。"
"listen","/ˈlɪsn/","v. 【常见】听；倾听；听从","原生基础词，古英语 hlysnan，无词根拆分","Listen to me carefully.","认真听我说。"
"another","/əˈnʌðə(r)/","pron. 【常见】另一个；adj. 【常见】另一的；再一个的","an（一个）+ other（其他的）","I want another apple.","我想要另一个苹果。"
"understand","/ˌʌndəˈstænd/","v. 【常见】理解；明白；了解；听说","前缀under-（在下）+ stand（站立）","I understand what you mean.","我明白你的意思。"
"hear","/hɪə(r)/","v. 【常见】听见；听说；审理；倾听","原生基础词，古英语 hīeran，无词根拆分","I can't hear you.","我听不见你说话。"
"remember","/rɪˈmembə(r)/","v. 【常见】记得；记住；想起；纪念","前缀re-（再）+ 词根memb-（记忆）+ 后缀-er（动词尾缀）","I remember your name.","我记得你的名字。"
"ask","/ɑːsk/","v. 【常见】问；询问；请求；邀请","原生基础词，古英语 āscian，无词根拆分","May I ask you a question?","我可以问你一个问题吗？"
"own","/əʊn/","adj. 【常见】自己的；v. 【常见】拥有；承认","原生基础词，古英语 āgen（自己的），无词根拆分","This is my own car.","这是我自己的车。"
"same","/seɪm/","adj. 【常见】相同的；同样的；pron. 【常见】同样的人/事","原生基础词，古英语 same（一样的），无词根拆分","We have the same idea.","我们有相同的想法。"
