"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"surprise","/səˈpraɪz/","n. 【常见】惊奇；惊喜；v. 【常见】使惊奇；突然袭击","前缀sur-（超过）+ 词根prise-（抓、拿）","What a surprise!","真是一个惊喜！"
"paper","/ˈpeɪpə(r)/","n. 【常见】纸；论文；报纸；试卷；adj. 【常见】纸质的","原生基础词，源自拉丁语 papyrus（纸莎草），无词根拆分","I need some paper.","我需要一些纸。"
"key","/kiː/","n. 【常见】钥匙；关键；键；v. 【常见】键入","原生基础词，古英语 cǣg（钥匙），无词根拆分","The key is on the table.","钥匙在桌子上。"
"boat","/bəʊt/","n. 【常见】船；小船；v. 【常见】划船","原生基础词，古英语 bāt（船），无词根拆分","They crossed the river by boat.","他们乘船过河。"
"quickly","/ˈkwɪkli/","adv. 【常见】快地；迅速地","quick（快的）+ 后缀-ly（副词后缀）","Please come quickly.","请快点来。"
"gold","/ɡəʊld/","n. 【常见】金；黄金；金色；adj. 【常见】金色的","原生基础词，古英语 gold，无词根拆分","She has a gold necklace.","她有一条金项链。"
"bar","/bɑː(r)/","n. 【常见】酒吧；条；棒；v. 【常见】禁止；阻挡","原生基础词，源自拉丁语 barra（横杆），无词根拆分","We met at a bar.","我们在酒吧见面。"
"fish","/fɪʃ/","n. 【常见】鱼；鱼肉；v. 【常见】钓鱼；捕鱼","原生基础词，古英语 fisc，无词根拆分","Fish live in the water.","鱼生活在水中。"
"mark","/mɑːk/","n. 【常见】标记；记号；分数；v. 【常见】标记；打分","原生基础词，古英语 mearc（边界），无词根拆分","Please mark your name.","请标记你的名字。"
"tom","/tɒm/","n. 【常见】汤姆（男子名，Thomas 的昵称）","Thomas 的昵称，无词根拆分","Tom is my friend.","汤姆是我的朋友。"
"wearing","/ˈweərɪŋ/","v. 【常见】穿（wear 的现在分词）","wear（穿）+ 后缀-ing（现在分词后缀）","She is wearing a red dress.","她穿着一件红裙子。"
"crying","/ˈkraɪɪŋ/","v. 【常见】哭（cry 的现在分词）；adj. 【常见】急迫的","cry（哭）+ 后缀-ing（现在分词后缀）","The baby is crying.","婴儿在哭。"
"accident","/ˈæksɪdənt/","n. 【常见】事故；意外事件；意外","前缀ac-（加强）+ 词根cid-（落下）+ 后缀-ent（名词后缀）","He had a car accident.","他出了一场车祸。"
"government","/ˈɡʌvənmənt/","n. 【常见】政府；治理；政治","govern（治理）+ 后缀-ment（名词后缀）","The government is responsible.","政府有责任。"
"eight","/eɪt/","num. 【常见】八；八个","原生基础词，古英语 eahta，无词根拆分","I get up at eight.","我八点起床。"
"fell","/fel/","v. 【常见】倒下（fall 的过去式）","fall（倒下）+ 过去式形态变化，无词根拆分","He fell down.","他摔倒了。"
"cover","/ˈkʌvə(r)/","v. 【常见】覆盖；遮盖；包括；n. 【常见】封面；盖子","原生基础词，源自拉丁语 cooperire（遮盖），无词根拆分","Cover the food, please.","请把食物盖好。"
"certain","/ˈsɜːtn/","adj. 【常见】确定的；必然的；某些","原生基础词，源自拉丁语 certus（确定的），无词根拆分","I'm certain he will come.","我确定他会来。"
"interested","/ˈɪntrəstɪd/","adj. 【常见】感兴趣的；关心的","interest（兴趣）+ 后缀-ed（过去分词/形容词后缀）","I'm interested in music.","我对音乐感兴趣。"
"deep","/diːp/","adj. 【常见】深的；深刻的；n. 【常见】深；深处","原生基础词，古英语 dēop，无词根拆分","The river is deep.","这条河很深。"
