"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"public","/ˈpʌblɪk/","adj. 【常见】公众的；公共的；公开的；n. 【常见】公众","原生基础词，源自拉丁语 publicus（人民的），无词根拆分","This is a public place.","这是一个公共场所。"
"list","/lɪst/","n. 【常见】列表；目录；v. 【常见】列清单；列举","原生基础词，源自意大利语 lista（清单），无词根拆分","Make a list of things to do.","列一个要做的事情的清单。"
"afternoon","/ˌɑːftəˈnuːn/","n. 【常见】下午；午后","after（在…后）+ noon（正午）","I study in the afternoon.","我下午学习。"
"brain","/breɪn/","n. 【常见】大脑；智力；聪明的人；v. 【常见】打…的脑袋","原生基础词，古英语 brægen，无词根拆分","Use your brain!","动动你的脑子！"
"fix","/fɪks/","v. 【常见】修理；安装；固定；安排；n. 【常见】困境","原生基础词，源自拉丁语 fixus（固定的），无词根拆分","I need to fix my bike.","我需要修理我的自行车。"
"bastard","/ˈbɑːstəd/","n. 【常见】混蛋；私生子；adj. 【常见】私生的","原生基础词，古英语 bæst（马鞍垫）+ eard（生的），无词根拆分","He is a bastard.","他是个混蛋。"
"proud","/praʊd/","adj. 【常见】自豪的；骄傲的；自尊的","原生基础词，古英语 prūd（骄傲的），无词根拆分","I'm proud of you.","我为你感到骄傲。"
"tea","/tiː/","n. 【常见】茶；茶叶；茶水；茶树","原生基础词，源自汉语 chá，无词根拆分","I drink tea every afternoon.","我每天下午喝茶。"
"service","/ˈsɜːvɪs/","n. 【常见】服务；服侍；维修；v. 【常见】维修；服务","serve（服务）+ 后缀-ice（名词后缀）","The service is excellent.","服务非常优秀。"
"screaming","/ˈskriːmɪŋ/","v. 【常见】尖叫（scream 的现在分词）；adj. 【常见】尖叫的；刺耳的","scream（尖叫）+ 后缀-ing（现在分词后缀）","Someone is screaming.","有人在尖叫。"
"forward","/ˈfɔːwəd/","adv. 【常见】向前；前进；adj. 【常见】向前的；v. 【常见】转交；转发","for-（向前）+ ward（朝向）","Move forward, please.","请向前走。"
"angry","/ˈæŋɡri/","adj. 【常见】生气的；愤怒的","anger（愤怒）+ 后缀-y（形容词后缀）","Why are you so angry?","你为什么这么生气？"
"park","/pɑːk/","n. 【常见】公园；停车场；v. 【常见】停放","原生基础词，源自拉丁语 parcus（围场），无词根拆分","We go to the park.","我们去公园。"
"soul","/səʊl/","n. 【常见】灵魂；精神；人；v. 【常见】赋予灵魂","原生基础词，古英语 sāwol，无词根拆分","Music is the food of the soul.","音乐是灵魂的食粮。"
"fighting","/ˈfaɪtɪŋ/","v. 【常见】战斗（fight 的现在分词）；n. 【常见】战斗；打架","fight（战斗）+ 后缀-ing（现在分词/名词后缀）","They are fighting.","他们在打架。"
"peter","/ˈpiːtə(r)/","n. 【常见】彼得（男子名）","源自希腊语 petros（岩石），无词根拆分","Peter is my friend.","彼得是我的朋友。"
"rich","/rɪtʃ/","adj. 【常见】富有的；丰富的；n. 【常见】富人","原生基础词，古英语 rīce（强大的），无词根拆分","He is very rich.","他很富有。"
"agent","/ˈeɪdʒənt/","n. 【常见】代理人；代理商；动因；剂","词根ag-（行动）+ 后缀-ent（名词后缀，表人/物）","He is a real estate agent.","他是一名房地产经纪人。"
"blow","/bləʊ/","v. 【常见】吹；刮；爆炸；n. 【常见】打击","原生基础词，古英语 blāwan（吹），无词根拆分","The wind is blowing.","风在吹。"
"paul","/pɔːl/","n. 【常见】保罗（男子名）","源自拉丁语 Paulus（小的），无词根拆分","Paul is my brother.","保罗是我的兄弟。"
