"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"call","/kɔːl/","v. 【常见】叫；称呼；打电话；召集 n. 电话；叫声","原生基础词，古英语 ceallian，无词根拆分","Call me at 8 pm.","晚上八点给我打电话。"
"after","/ˈɑːftə(r)/","prep. 【常见】在…以后；在…后面 conj. 在…之后 adv. 后来","原生基础词，古英语 æfter，无词根拆分","We had dinner after the movie.","电影后我们吃了晚饭。"
"won","/wʌn/","v. 【常见】赢；获胜（win 的过去式及过去分词）","原生基础词，古英语 wann（win的过去式），无词根拆分","Our team won the game.","我们队赢了比赛。"
"talk","/tɔːk/","v. 【常见】说话；谈话；讨论 n. 谈话；演讲","原生基础词，古英语 talcian，无词根拆分","We need to talk.","我们需要谈谈。"
"away","/əˈweɪ/","adv. 【常见】离开；远离；消失；持续地","a-（在…状态）+ way（路、方向）","Go away!","走开！"
"than","/ðən/","conj. 【常见】比（用于比较级）","原生基础词，古英语 þanne，无词根拆分","She is taller than me.","她比我高。"
"thought","/θɔːt/","n. 【常见】想法；思考；思想 v. 想（think 的过去式及过去分词）","think（想）+ 后缀-ought（过去式/过去分词后缀）","I just had a thought.","我刚有了一个想法。"
"home","/həʊm/","n. 【常见】家；家乡；终点 adj. 家庭的 adv. 回家","原生基础词，古英语 hām，无词根拆分","I miss my home.","我想家了。"
"night","/naɪt/","n. 【常见】夜；夜晚；黑夜","原生基础词，古英语 niht，无词根拆分","I sleep at night.","我晚上睡觉。"
"put","/pʊt/","v. 【常见】放；摆；使处于；说；表达","原生基础词，古英语 putian，无词根拆分","Put the book on the table.","把书放在桌子上。"
"great","/ɡreɪt/","adj. 【常见】伟大的；巨大的；很棒的；重要的","原生基础词，古英语 grēat，无词根拆分","This is a great opportunity.","这是一个很好的机会。"
"those","/ðəʊz/","pron. 【常见】那些；adj. 【常见】那些的","原生基础词，古英语 þā（that的复数），无词根拆分","Those are my friends.","那些是我的朋友。"
"last","/lɑːst/","adj. 【常见】最后的；最近的；上一个的 v. 持续 adv. 最后","原生基础词，古英语 latost（late的最高级），无词根拆分","I saw him last week.","我上周见过他。"
"better","/ˈbetə(r)/","adj. 【常见】更好的；较好的 adv. 更好地；更","good/well 的比较级，原生基础词，古英语 betera","You should try better.","你应该做得更好。"
"everything","/ˈevriθɪŋ/","pron. 【常见】每件事；一切事物；所有东西","every（每个）+ thing（东西、事情）","Everything is going well.","一切都进展顺利。"
"told","/təʊld/","v. 【常见】告诉（tell 的过去式及过去分词）","原生基础词，古英语 tealde（tell的过去式），无词根拆分","I told you the truth.","我告诉了你真相。"
"mr.","/ˈmɪstə(r)/","n. 【常见】先生（Mister 的缩写）","Mister 的缩写形式，无词根拆分","Mr. Smith is our teacher.","史密斯先生是我们的老师。"
"new","/njuː/","adj. 【常见】新的；新鲜的；崭新的；新来的","原生基础词，古英语 nīwe，无词根拆分","I have a new book.","我有一本新书。"
"things","/θɪŋz/","n. 【常见】东西；事情；物品；所有物（thing 的复数）","thing（东西）+ 后缀-s（复数后缀）","I have many things to do.","我有很多事情要做。"
"always","/ˈɔːlweɪz/","adv. 【常见】总是；一直；永远；始终","all（所有）+ ways（方式）","I always get up early.","我总是早起。"
