"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"pass","/pɑːs/","v. 【常见】经过；传递；通过；n. 【常见】通行证；及格","原生基础词，源自拉丁语 passus（步伐），无词根拆分","Please pass me the salt.","请把盐递给我。"
"tired","/ˈtaɪəd/","adj. 【常见】疲倦的；厌倦的；v. 【常见】使疲劳（tire 的过去分词）","tire（疲劳）+ 后缀-ed（过去分词后缀）","I'm very tired.","我很累。"
"class","/klɑːs/","n. 【常见】班级；课；阶级；等级；v. 【常见】分类","原生基础词，源自拉丁语 classis（阶层），无词根拆分","We have class at nine.","我们九点上课。"
"officer","/ˈɒfɪsə(r)/","n. 【常见】军官；警官；官员；v. 【常见】指挥","office（办公室）+ 后缀-er（名词后缀，表人）","He is a police officer.","他是一名警察。"
"kept","/kept/","v. 【常见】保持（keep 的过去式及过去分词）","keep（保持）+ 过去式形态变化，无词根拆分","I kept the book for you.","我为你保留了这本书。"
"wake","/weɪk/","v. 【常见】醒；唤醒；n. 【常见】航迹；守夜","原生基础词，古英语 wacan（醒来），无词根拆分","I wake up at six.","我六点醒来。"
"worse","/wɜːs/","adj. 【常见】更坏的；更差的（bad 的比较级）；adv. 【常见】更坏地","bad 的比较级，原生基础词，古英语 wiersa","The situation is getting worse.","情况变得更糟。"
"busy","/ˈbɪzi/","adj. 【常见】忙的；繁忙的；v. 【常见】使忙于","原生基础词，古英语 bisig（忙碌的），无词根拆分","I'm busy right now.","我现在很忙。"
"eh","/eɪ/","int. 【常见】嗯；啊（表示疑问、惊讶或寻求确认）","原生基础词，拟声词，无词根拆分","Eh? What did you say?","嗯？你说什么？"
"mistake","/mɪˈsteɪk/","n. 【常见】错误；过失；v. 【常见】误会；弄错","前缀mis-（错误）+ take（拿）","I made a mistake.","我犯了一个错误。"
"kiss","/kɪs/","v. 【常见】亲吻；n. 【常见】吻","原生基础词，古英语 cyssan，无词根拆分","She kissed her baby.","她吻了她的宝宝。"
"court","/kɔːt/","n. 【常见】法庭；宫廷；球场；v. 【常见】讨好；追求","原生基础词，源自拉丁语 cohors（庭院），无词根拆分","The case is in court.","这个案子在法庭上。"
"building","/ˈbɪldɪŋ/","n. 【常见】建筑物；大楼；建筑；v. 【常见】建造（build 的现在分词）","build（建造）+ 后缀-ing（名词后缀）","There are many tall buildings.","有很多高楼。"
"finish","/ˈfɪnɪʃ/","v. 【常见】完成；结束；n. 【常见】结束；终点","原生基础词，源自拉丁语 finis（终结），无词根拆分","I finished my homework.","我完成了我的作业。"
"during","/ˈdjʊərɪŋ/","prep. 【常见】在…期间","dure（持续）+ 后缀-ing","During the summer, I go swimming.","夏天期间，我去游泳。"
"age","/eɪdʒ/","n. 【常见】年龄；时代；v. 【常见】变老","原生基础词，源自拉丁语 aevum（生命），无词根拆分","What is your age?","你多大了？"
"ship","/ʃɪp/","n. 【常见】船；舰；v. 【常见】运送","原生基础词，古英语 scip，无词根拆分","The ship is sailing.","船正在航行。"
"caught","/kɔːt/","v. 【常见】抓住（catch 的过去式及过去分词）","catch（抓住）+ 过去式形态变化，无词根拆分","I caught the ball.","我接住了球。"
"marry","/ˈmæri/","v. 【常见】结婚；娶；嫁；为…证婚","原生基础词，源自拉丁语 maritare（结婚），无词根拆分","They are going to marry.","他们要结婚了。"
"meant","/ment/","v. 【常见】意味着（mean 的过去式及过去分词）","mean（意味着）+ 过去式形态变化，无词根拆分","I meant what I said.","我说的是真的。"
