"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"fair","/feə(r)/","adj. 【常见】公平的；公正的；相当好的；n. 【常见】集市；展览会","原生基础词，古英语 fæger（美丽的），无词根拆分","That's not fair!","那不公平！"
"sun","/sʌn/","n. 【常见】太阳；阳光；恒星；v. 【常见】晒太阳","原生基础词，古英语 sunne，无词根拆分","The sun rises in the east.","太阳从东方升起。"
"letter","/ˈletə(r)/","n. 【常见】信；字母；文学；v. 【常见】写字母","原生基础词，源自拉丁语 littera（文字），无词根拆分","I received a letter from her.","我收到了她的一封信。"
"fool","/fuːl/","n. 【常见】傻瓜；愚人；v. 【常见】愚弄；欺骗","原生基础词，源自拉丁语 follis（风箱），无词根拆分","Don't be a fool.","别傻了。"
"attention","/əˈtenʃn/","n. 【常见】注意；留心；注意力","attend（注意）+ 后缀-ion（名词后缀）","Please pay attention.","请注意。"
"club","/klʌb/","n. 【常见】俱乐部；社团；棍棒；v. 【常见】用棍棒打","原生基础词，古英语 clubba（棍棒），无词根拆分","I joined a sports club.","我加入了一个体育俱乐部。"
"simple","/ˈsɪmpl/","adj. 【常见】简单的；朴素的；单纯的","原生基础词，源自拉丁语 simplex（单一的），无词根拆分","This is simple.","这很简单。"
"interesting","/ˈɪntrəstɪŋ/","adj. 【常见】有趣的；引人入胜的","interest（兴趣）+ 后缀-ing（形容词后缀）","The book is very interesting.","这本书很有趣。"
"space","/speɪs/","n. 【常见】空间；太空；空地；v. 【常见】把…隔开","原生基础词，源自拉丁语 spatium（空间），无词根拆分","There is not enough space.","没有足够的空间。"
"test","/test/","n. 【常见】测试；考试；v. 【常见】测试；检测","原生基础词，源自拉丁语 testum（陶罐），无词根拆分","I have a test tomorrow.","我明天有考试。"
"box","/bɒks/","n. 【常见】盒；箱；包厢；v. 【常见】拳击；装箱","原生基础词，古英语 box（盒子），无词根拆分","Put it in the box.","把它放进盒子里。"
"group","/ɡruːp/","n. 【常见】组；群；团体；v. 【常见】分组；聚集","原生基础词，源自意大利语 gruppo，无词根拆分","We work in groups.","我们分组工作。"
"single","/ˈsɪŋɡl/","adj. 【常见】单一的；单身的；n. 【常见】单程票；单曲","原生基础词，源自拉丁语 singulus（单独），无词根拆分","I am single.","我单身。"
"sitting","/ˈsɪtɪŋ/","v. 【常见】坐（sit 的现在分词）；n. 【常见】开会；坐着","sit（坐）+ 后缀-ing（现在分词/名词后缀）","She is sitting there.","她坐在那里。"
"marriage","/ˈmærɪdʒ/","n. 【常见】结婚；婚姻；婚礼","marry（结婚）+ 后缀-age（名词后缀）","Marriage is a big commitment.","婚姻是一个重大的承诺。"
"join","/dʒɔɪn/","v. 【常见】参加；加入；连接","原生基础词，源自拉丁语 jungere（连接），无词根拆分","I want to join the club.","我想加入这个俱乐部。"
"fear","/fɪə(r)/","n. 【常见】害怕；恐惧；v. 【常见】害怕；担心","原生基础词，古英语 fǣr（突然的危险），无词根拆分","Don't let fear control you.","别让恐惧控制你。"
"d","/diː/","n. 【常见】字母 D；n. 【常见】D 级（成绩）","原生基础词，字母名，无词根拆分","D is the 4th letter.","D是第4个字母。"
"peace","/piːs/","n. 【常见】和平；安静；v. 【常见】使安静","原生基础词，源自拉丁语 pax（和平），无词根拆分","We all want peace.","我们都想要和平。"
"forgot","/fəˈɡɒt/","v. 【常见】忘记（forget 的过去式）","forget（忘记）+ 过去式形态变化，无词根拆分","I forgot your name.","我忘了你的名字。"
