"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"daddy","/ˈdædi/","n. 【常见】爸爸；爹爹（儿童用语）","dad（爸爸）+ 后缀-y（昵称后缀）","Daddy, I love you.","爸爸，我爱你。"
"finally","/ˈfaɪnəli/","adv. 【常见】终于；最后；决定性地","final（最后的）+ 后缀-ly（副词后缀）","I finally finished my work.","我终于完成了我的工作。"
"chuckles","/ˈtʃʌklz/","v. 【常见】轻声笑（chuckle 的第三人称单数）；n. 【常见】笑声（chuckle 的复数）","chuckle（轻声笑）+ 后缀-s（第三人称单数/复数后缀）","He chuckles at the joke.","他听了笑话轻声笑了。"
"fast","/fɑːst/","adj. 【常见】快的；adv. 【常见】快地；v. 【常见】禁食","原生基础词，古英语 fæst（固定的），无词根拆分","He runs fast.","他跑得快。"
"cold","/kəʊld/","adj. 【常见】冷的；寒冷的；冷淡的；n. 【常见】感冒；寒冷","原生基础词，古英语 ceald，无词根拆分","I feel cold.","我觉得冷。"
"seem","/siːm/","v. 【常见】似乎；好像；看来","原生基础词，古英语 sēman，无词根拆分","She seems happy.","她似乎很开心。"
"laughing","/ˈlɑːfɪŋ/","v. 【常见】笑（laugh 的现在分词）；adj. 【常见】笑着的","laugh（笑）+ 后缀-ing（现在分词后缀）","Everyone is laughing.","每个人都在笑。"
"words","/wɜːdz/","n. 【常见】话；单词（word 的复数）","word（单词）+ 后缀-s（复数后缀）","His words touched me.","他的话感动了我。"
"hospital","/ˈhɒspɪtl/","n. 【常见】医院；v. 【常见】送…住院","原生基础词，源自拉丁语 hospitale（客房），无词根拆分","He is in hospital.","他在住院。"
"street","/striːt/","n. 【常见】街道；马路；街区","原生基础词，源自拉丁语 strata（铺过的路），无词根拆分","The shop is on the main street.","那家店在主街上。"
"hang","/hæŋ/","v. 【常见】悬挂；吊死；v. 【常见】闲逛（hang out）","原生基础词，古英语 hōn（悬挂），无词根拆分","I hang out with my friends.","我和朋友出去玩。"
"dance","/dɑːns/","v. 【常见】跳舞；n. 【常见】舞蹈；舞会","原生基础词，源自拉丁语 danciare，无词根拆分","She loves to dance.","她喜欢跳舞。"
"meeting","/ˈmiːtɪŋ/","n. 【常见】会议；集合；v. 【常见】遇见（meet 的现在分词）","meet（遇见）+ 后缀-ing（现在分词/名词后缀）","We have a meeting today.","我们今天有一个会议。"
"till","/tɪl/","prep. 【常见】直到…为止；conj. 【常见】直到…时","原生基础词，古英语 til（到），无词根拆分","Wait till I come back.","等到我回来。"
"others","/ˈʌðəz/","pron. 【常见】其他的人/物（other 的复数）","other（其他的）+ 后缀-s（复数后缀）","Some people laugh, others cry.","一些人笑，其他人哭。"
"catch","/kætʃ/","v. 【常见】抓住；赶上；感染；n. 【常见】抓；接球","原生基础词，古英语 cæccan（抓），无词根拆分","Can you catch the ball?","你能接住球吗？"
"follow","/ˈfɒləʊ/","v. 【常见】跟随；跟着；遵循；理解","原生基础词，古英语 folgian，无词根拆分","Follow me, please.","请跟我来。"
"sense","/sens/","n. 【常见】感觉；感官；意义；理智；v. 【常见】感觉到","原生基础词，源自拉丁语 sensus（感觉），无词根拆分","I have a sense of humor.","我有幽默感。"
"sex","/seks/","n. 【常见】性别；性；性行为","原生基础词，源自拉丁语 sexus（性别），无词根拆分","What is your sex?","你的性别是什么？"
"lie","/laɪ/","v. 【常见】躺；平放；说谎；n. 【常见】谎言","原生基础词，古英语 licgan（躺），无词根拆分","Don't lie to me.","别对我说谎。"
