英文单词,音标,中文释义,语素（前缀/词根/后缀）及含义,英语例句,例句翻译
show,/ʃəʊ/,v. 【常见】显示；表明；展示；带路 n. 表演；展示,原生基础词，古英语 scēawian，无词根拆分,Show me your ID.,给我看你的身份证。
else,/els/,adv. 【常见】其他；另外；否则；adj. 【常见】别的,原生基础词，古英语 elles（其他），无词根拆分,What else do you want?,你还想要什么？
kill,/kɪl/,v. 【常见】杀死；扼杀；消磨 n. 杀死；猎物,原生基础词，古英语 cwellan（杀害），无词根拆分,Don't kill the spider.,别杀死那只蜘蛛。
talking,/ˈtɔːkɪŋ/,v. 【常见】谈话（talk 的现在分词）；n. 【常见】谈话；讲话,talk（谈话）+ 后缀-ing（现在分词后缀）,They are talking loudly.,他们在大声交谈。
found,/faʊnd/,v. 【常见】发现（find 的过去式及过去分词）；【常见】创立；建立,find（发现）+ 后缀-ed（过去式后缀）；源自古法语 fonder（建立）,I found my keys.,我找到了我的钥匙。
next,/nekst/,adj. 【常见】下一个的；接下来的；adv. 【常见】接下来；然后,原生基础词，古英语 nīehst（最近），无词根拆分,See you next week.,下周见。
getting,/ˈɡetɪŋ/,v. 【常见】获得；到达；变得（get 的现在分词）,get（得到）+ 后缀-ing（现在分词后缀）,I'm getting tired.,我变累了。
care,/keə(r)/,v. 【常见】关心；在意；照顾；n. 【常见】关心；照料,原生基础词，古英语 caru（忧虑），无词根拆分,I don't care.,我不在乎。
car,/kɑː(r)/,n. 【常见】汽车；轿车；车厢,原生基础词，源自拉丁语 carrus（四轮车），无词根拆分,I have a car.,我有一辆车。
looking,/ˈlʊkɪŋ/,v. 【常见】看（look 的现在分词）,look（看）+ 后缀-ing（现在分词后缀）,What are you looking at?,你在看什么？
son,/sʌn/,n. 【常见】儿子；后代；子孙,原生基础词，古英语 sunu，无词根拆分,He is my only son.,他是我的独生子。
try,/traɪ/,v. 【常见】尝试；试图；努力；n. 【常见】尝试,原生基础词，古英语 triēwan，无词根拆分,Try your best.,尽你最大努力。
woman,/ˈwʊmən/,n. 【常见】女人；妇女；女性,原生基础词，古英语 wīfmann（女性+人），无词根拆分,She is a beautiful woman.,她是一个漂亮的女人。
went,/went/,v. 【常见】去（go 的过去式）,原生基础词，古英语 wende（go的过去式），无词根拆分,I went to school yesterday.,我昨天去了学校。
hi,/haɪ/,int. 【常见】嗨（打招呼，非正式）,原生基础词，无词根拆分,"Hi, how are you?",嗨，你好吗？
dead,/ded/,adj. 【常见】死的；无生命的；adv. 【常见】完全地；n. 【常见】死者,原生基础词，古英语 dēad，无词根拆分,The flowers are dead.,花死了。
many,/ˈmeni/,adj. 【常见】许多的；pron. 【常见】许多人/物,原生基础词，古英语 manig，无词根拆分,Many people came to the party.,许多人来参加了聚会。
mind,/maɪnd/,n. 【常见】头脑；想法；注意力；v. 【常见】介意；注意；照顾,原生基础词，古英语 gemynd（记忆、思想），无词根拆分,Never mind.,没关系。
wasn,/ˈwɒznt/,【常见】不是；was not 的缩略形式（wasn't = was not）,was（是）+ not（不）的缩略形式,He wasn't there.,他不在那里。
friend,/frend/,n. 【常见】朋友；友人；支持者,原生基础词，古英语 frēond，无词根拆分,He is my best friend.,他是我最好的朋友。
