"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"evening","/ˈiːvnɪŋ/","n. 【常见】傍晚；晚上；晚会","原生基础词，古英语 ǣfnung，无词根拆分","I watch TV in the evening.","我晚上看电视。"
"master","/ˈmɑːstə(r)/","n. 【常见】主人；大师；硕士；v. 【常见】掌握；精通","原生基础词，源自拉丁语 magister（首领），无词根拆分","He is a master of painting.","他是一位绘画大师。"
"known","/nəʊn/","v. 【常见】知道（know 的过去分词）；adj. 【常见】众所周知的","know（知道）+ 后缀-n（过去分词后缀）","He is known to everyone.","他被大家所熟知。"
"dream","/driːm/","n. 【常见】梦；梦想；v. 【常见】做梦；梦想","原生基础词，古英语 drēam（喜悦），无词根拆分","I have a dream.","我有一个梦想。"
"write","/raɪt/","v. 【常见】写；写作；写信；创作","原生基础词，古英语 wrītan，无词根拆分","I write to my mother.","我给我妈妈写信。"
"million","/ˈmɪljən/","num. 【常见】百万；n. 【常见】许多","原生基础词，源自拉丁语 mille（千），无词根拆分","A million people live here.","一百万人住在这里。"
"voice","/vɔɪs/","n. 【常见】声音；嗓音；v. 【常见】表达","原生基础词，源自拉丁语 vox（声音），无词根拆分","She has a beautiful voice.","她有美丽的嗓音。"
"sweet","/swiːt/","adj. 【常见】甜的；甜蜜的；可爱的；n. 【常见】糖果","原生基础词，古英语 swēte，无词根拆分","This cake is very sweet.","这蛋糕很甜。"
"rather","/ˈrɑːðə(r)/","adv. 【常见】相当；宁愿；有点","原生基础词，古英语 hræþe（快速），无词根拆分","I would rather stay home.","我宁愿呆在家里。"
"felt","/felt/","v. 【常见】感觉（feel 的过去式及过去分词）","feel（感觉）+ 过去式形态变化，无词根拆分","I felt happy yesterday.","我昨天感到快乐。"
"sign","/saɪn/","n. 【常见】符号；标志；迹象；v. 【常见】签名；示意","原生基础词，源自拉丁语 signum（标记），无词根拆分","There is no sign of rain.","没有下雨的迹象。"
"lucky","/ˈlʌki/","adj. 【常见】幸运的；侥幸的","luck（运气）+ 后缀-y（形容词后缀）","You are very lucky.","你很幸运。"
"somewhere","/ˈsʌmweə(r)/","adv. 【常见】在某处；到某处；pron. 【常见】某个地方","some（一些）+ where（哪里）","Let's go somewhere else.","我们去别处吧。"
"bet","/bet/","v. 【常见】打赌；敢说；n. 【常见】打赌；赌注","原生基础词，无词根拆分","I bet you are right.","我敢说你是对的。"
"o","/əʊ/","int. 【常见】哦；啊（表示惊讶或呼唤）","原生基础词，无词根拆分","O, I see.","哦，我明白了。"
"jesus","/ˈdʒiːzəs/","n. 【常见】耶稣；int. 【常见】天哪（表示惊讶）","原生基础词，源自希伯来语 Yeshua，无词根拆分","Jesus is the son of God.","耶稣是上帝的儿子。"
"longer","/ˈlɒŋɡə(r)/","adj. 【常见】更长的（long 的比较级）；adv. 【常见】更长地","long（长的）+ 后缀-er（比较级后缀）","I can't stay any longer.","我不能再待下去了。"
"calling","/ˈkɔːlɪŋ/","v. 【常见】叫；打电话（call 的现在分词）；n. 【常见】召唤；职业","call（叫）+ 后缀-ing（现在分词后缀）","Who is calling?","谁在打电话？"
"worked","/wɜːkt/","v. 【常见】工作（work 的过去式及过去分词）","work（工作）+ 后缀-ed（过去式/过去分词后缀）","I worked hard yesterday.","我昨天努力工作。"
"quiet","/ˈkwaɪət/","adj. 【常见】安静的；平静的；n. 【常见】安静；v. 【常见】使安静","原生基础词，源自拉丁语 quietus（平静的），无词根拆分","Please be quiet.","请安静。"
