"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"gentlemen","/ˈdʒentlmən/","n. 【常见】先生们；绅士们（gentleman 的复数）","gentle（温和的）+ man（男人）","Ladies and gentlemen, welcome!","女士们先生们，欢迎！"
"loved","/lʌvd/","v. 【常见】爱（love 的过去式及过去分词）","love（爱）+ 后缀-ed（过去式/过去分词后缀）","I loved that movie.","我喜欢那部电影。"
"changed","/tʃeɪndʒd/","v. 【常见】改变（change 的过去式及过去分词）","change（改变）+ 后缀-ed（过去式/过去分词后缀）","Things have changed.","事情已经改变了。"
"road","/rəʊd/","n. 【常见】路；道路；公路；途径","原生基础词，古英语 rād（骑行），无词根拆分","The road is very busy.","这条路很繁忙。"
"calm","/kɑːm/","adj. 【常见】冷静的；平静的；v. 【常见】使平静","原生基础词，源自拉丁语 cauma（热），无词根拆分","Stay calm, please.","请保持冷静。"
"wonderful","/ˈwʌndəfl/","adj. 【常见】极好的；精彩的；美妙的","wonder（惊奇）+ 后缀-ful（充满…的）","It's a wonderful day.","今天天气真好。"
"mad","/mæd/","adj. 【常见】疯的；生气的；狂热的","原生基础词，古英语 gemād（疯狂的），无词根拆分","He is mad at me.","他生我的气。"
"turned","/tɜːnd/","v. 【常见】转动；转身（turn 的过去式及过去分词）","turn（转动）+ 后缀-ed（过去式/过去分词后缀）","He turned around.","他转过身来。"
"drop","/drɒp/","v. 【常见】落下；使落下；放弃；n. 【常见】滴；下降","原生基础词，古英语 dropa，无词根拆分","Don't drop the glass.","别把玻璃杯掉了。"
"ladies","/ˈleɪdiz/","n. 【常见】女士们（lady 的复数）","lady（女士）+ 复数形态变化","Ladies and gentlemen.","女士们先生们。"
"learn","/lɜːn/","v. 【常见】学；学习；学会；得知","原生基础词，古英语 leornian，无词根拆分","I want to learn English.","我想学英语。"
"step","/step/","n. 【常见】步骤；脚步；台阶；v. 【常见】跨步；走","原生基础词，古英语 steppe，无词根拆分","Take the first step.","迈出第一步。"
"absolutely","/ˈæbsəluːtli/","adv. 【常见】绝对地；完全地；正是如此","absolute（绝对的）+ 后缀-ly（副词后缀）","Absolutely! I agree.","绝对！我同意。"
"early","/ˈɜːli/","adv. 【常见】早；adj. 【常见】早的；早期的","原生基础词，古英语 ǣrlīce（早上），无词根拆分","I get up early.","我起得早。"
"explain","/ɪkˈspleɪn/","v. 【常见】解释；说明；阐明","前缀ex-（向外）+ plain（使平坦、阐明）","Can you explain this to me?","你能给我解释这个吗？"
"clean","/kliːn/","adj. 【常见】干净的；v. 【常见】打扫；使干净","原生基础词，古英语 clǣne（纯净的），无词根拆分","Keep your room clean.","保持你的房间干净。"
"piece","/piːs/","n. 【常见】块；片；碎片；作品；v. 【常见】拼合","原生基础词，源自拉丁语 pettia（块），无词根拆分","I want a piece of cake.","我想要一块蛋糕。"
"yesterday","/ˈjestədeɪ/","n. 【常见】昨天；往昔；adv. 【常见】在昨天","yester-（昨日的）+ day（日子）","I went to school yesterday.","我昨天去上学了。"
"throw","/θrəʊ/","v. 【常见】扔；投；抛；n. 【常见】扔；投掷","原生基础词，古英语 þrāwan，无词根拆分","Throw the ball to me.","把球扔给我。"
"picture","/ˈpɪktʃə(r)/","n. 【常见】图画；照片；电影；v. 【常见】画；想象","原生基础词，源自拉丁语 pictura（绘画），无词根拆分","I like this picture.","我喜欢这张照片。"
