"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"land","/lænd/","n. 【常见】陆地；土地；国家；v. 【常见】登陆；着陆","原生基础词，古英语 land，无词根拆分","The plane landed safely.","飞机安全着陆了。"
"feet","/fiːt/","n. 【常见】脚（foot 的复数）；英尺","foot（脚）+ 复数形态变化","I have two feet.","我有两只脚。"
"wonder","/ˈwʌndə(r)/","v. 【常见】想知道；感到惊奇；n. 【常见】惊奇；奇迹","原生基础词，古英语 wundor（奇迹），无词根拆分","I wonder what happened.","我想知道发生了什么。"
"questions","/ˈkwestʃənz/","n. 【常见】问题（question 的复数）；v. 【常见】询问（question 的第三人称单数）","question（问题）+ 后缀-s（复数/第三人称单数后缀）","I have a few questions.","我有几个问题。"
"speaking","/ˈspiːkɪŋ/","v. 【常见】说（speak 的现在分词）；n. 【常见】说话；演讲","speak（说）+ 后缀-ing（现在分词后缀）","I'm speaking to you.","我在跟你说话。"
"worth","/wɜːθ/","adj. 【常见】值得的；有…价值；n. 【常见】价值","原生基础词，古英语 weorþ（价值），无词根拆分","This book is worth reading.","这本书值得读。"
"darling","/ˈdɑːlɪŋ/","n. 【常见】亲爱的；宝贝；adj. 【常见】亲爱的","原生基础词，古英语 dēorling（亲爱的人），无词根拆分","Hello, my darling.","你好，亲爱的。"
"dude","/duːd/","n. 【常见】家伙；哥们儿；adj. 【常见】时髦的","原生基础词，无词根拆分","Hey dude, what's up?","嘿哥们儿，怎么样？"
"giving","/ˈɡɪvɪŋ/","v. 【常见】给（give 的现在分词）","give（给）+ 后缀-ing（现在分词后缀）","Thank you for giving me this chance.","谢谢你给我这个机会。"
"president","/ˈprezɪdənt/","n. 【常见】总统；总裁；校长；主席","前缀pre-（在…前）+ 词根sid-（坐）+ 后缀-ent（名词后缀）","The president gave a speech.","总统发表了演讲。"
"eye","/aɪ/","n. 【常见】眼睛；视力；目光；v. 【常见】注视","原生基础词，古英语 ēage，无词根拆分","She has blue eyes.","她有一双蓝眼睛。"
"quick","/kwɪk/","adj. 【常见】快的；迅速的；adv. 【常见】快；迅速","原生基础词，古英语 cwic（活的），无词根拆分","He is quick to learn.","他学得很快。"
"moving","/ˈmuːvɪŋ/","v. 【常见】移动（move 的现在分词）；adj. 【常见】感人的；移动的","move（移动）+ 后缀-ing（现在分词后缀）","The movie was very moving.","这部电影很感人。"
"figure","/ˈfɪɡə(r)/","n. 【常见】数字；人物；图形；v. 【常见】认为；计算","原生基础词，源自拉丁语 figūra（形状），无词根拆分","I figure he's right.","我认为他是对的。"
"state","/steɪt/","n. 【常见】州；状态；国家；v. 【常见】陈述；说明","原生基础词，源自拉丁语 status（状态），无词根拆分","California is a state in the US.","加利福尼亚是美国的一个州。"
"strong","/strɒŋ/","adj. 【常见】强壮的；强大的；坚强的；强烈的","原生基础词，古英语 strang，无词根拆分","He is strong enough.","他足够强壮。"
"sam","/sæm/","n. 【常见】萨姆（男子名或女子名，Samuel 或 Samantha 的昵称）","Samuel 或 Samantha 的昵称，无词根拆分","Sam is my friend.","萨姆是我的朋友。"
"none","/nʌn/","pron. 【常见】没有一个；毫无；adv. 【常见】一点也不","none=no+one，原生基础词，古英语 nān","None of them came.","他们一个都没来。"
"amazing","/əˈmeɪzɪŋ/","adj. 【常见】令人惊奇的；极好的；v. 【常见】使惊奇（amaze 的现在分词）","amaze（使惊奇）+ 后缀-ing（现在分词/形容词后缀）","That's amazing!","太棒了！"
"ones","/wʌnz/","n. 【常见】那些（one 的复数）；pron. 【常见】人们；东西","one（一）+ 后缀-s（复数后缀）","The red ones are mine.","红色的那些是我的。"
