"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"how","/haʊ/","adv. 【常见】怎样；多么；如何；conj. 【常见】如何","原生基础词，古英语 hū，无词根拆分","How are you?","你好吗？"
"yeah","/jeə/","adv. 【常见】是；对（口语中 yes 的变体）","原生基础词，yes 的口语变体，无词根拆分","Yeah, I agree with you.","是的，我同意你的看法。"
"'ve","/v/","【常见】have 的缩略形式（I've = I have）","原生基础词，have 的缩略形式，无词根拆分","I've been there before.","我以前去过那里。"
"will","/wɪl/","aux. 【常见】将；会；愿意；v. 【常见】用意志力促使；n. 【常见】意志；遗嘱","原生基础词，古英语 willa（愿望），无词根拆分","I will help you.","我会帮你的。"
"got","/ɡɒt/","v. 【常见】得到；获得（get 的过去式）；必须（have got）","原生基础词，古英语 gietan（得到），无词根拆分","I got a gift from her.","我从她那里得到了一份礼物。"
"want","/wɒnt/","v. 【常见】想要；需要；缺乏；n. 【常见】需要；缺乏","原生基础词，古英语 wanian（缺乏），无词根拆分","I want some water.","我想要一些水。"
"think","/θɪŋk/","v. 【常见】想；认为；思考；考虑","原生基础词，古英语 þencan，无词根拆分","I think you are right.","我认为你是对的。"
"as","/æz/","conj. 【常见】当…时；因为；如同；prep. 【常见】作为；adv. 【常见】同样地","原生基础词，古英语 ealswā（同样地），无词根拆分","As a teacher, she is very kind.","作为老师，她很和蔼。"
"see","/siː/","v. 【常见】看见；明白；会见；参观","原生基础词，古英语 sēon，无词根拆分","I see a bird in the sky.","我看见天空中有一只鸟。"
"did","/dɪd/","v. 【常见】做（do 的过去式）；aux. 【常见】（构成疑问/否定/强调的过去式）","原生基础词，古英语 dyde（do的过去式），无词根拆分","Did you call me?","你给我打电话了吗？"
"good","/ɡʊd/","adj. 【常见】好的；优良的；有益的；n. 【常见】好处；善行","原生基础词，古英语 gōd，无词根拆分","She is a good teacher.","她是一位好老师。"
"who","/huː/","pron. 【常见】谁；…的人（主格）","原生基础词，古英语 hwā，无词根拆分","Who is that man?","那个男人是谁？"
"why","/waɪ/","adv. 【常见】为什么；int. 【常见】哎呀；conj. 【常见】…的原因","原生基础词，古英语 hwȳ，无词根拆分","Why are you sad?","你为什么难过？"
"from","/frəm/","prep. 【常见】从；来自；由于","原生基础词，古英语 fram，无词根拆分","I am from China.","我来自中国。"
"let","/let/","v. 【常见】允许；让；出租；假设","原生基础词，古英语 lǣtan，无词根拆分","Let me help you.","让我帮你。"
"his","/hɪz/","pron. 【常见】他的（所有格）","原生基础词，古英语 his，无词根拆分","I like his car.","我喜欢他的车。"
"yes","/jes/","adv. 【常见】是；是的（表示肯定回答）","原生基础词，古英语 gēse，无词根拆分","Yes, I will go.","是的，我会去。"
"when","/wen/","adv. 【常见】什么时候；conj. 【常见】当…时","原生基础词，古英语 hwænne，无词根拆分","When will you come back?","你什么时候回来？"
"going","/ˈɡəʊɪŋ/","v. 【常见】去（go 的现在分词）；adj. 【常见】进行中的","go（去）+ 后缀-ing（现在分词后缀）","I am going to school.","我要去学校。"
"time","/taɪm/","n. 【常见】时间；时刻；次；倍；v. 【常见】安排时间；计时","原生基础词，古英语 tīma，无词根拆分","Time is money.","时间就是金钱。"
