"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"send","/send/","v. 【常见】发送；寄送；派遣；使进入","原生基础词，古英语 sendan，无词根拆分","I send a letter to my friend.","我给朋友寄了一封信。"
"news","/njuːz/","n. 【常见】新闻；消息；报道","new（新的）+ 后缀-s（名词后缀）","I watch the news every day.","我每天看新闻。"
"stupid","/ˈstjuːpɪd/","adj. 【常见】愚蠢的；笨的；n. 【常见】笨蛋","原生基础词，源自拉丁语 stupidus（麻木的），无词根拆分","That was a stupid mistake.","那是一个愚蠢的错误。"
"bed","/bed/","n. 【常见】床；河床；花坛；v. 【常见】把…栽入苗床","原生基础词，古英语 bedd，无词根拆分","I go to bed at 10 pm.","我晚上十点上床睡觉。"
"hurry","/ˈhʌri/","v. 【常见】赶紧；催促；n. 【常见】匆忙；着急","原生基础词，无词根拆分","Hurry up! We're late.","快点！我们迟到了。"
"full","/fʊl/","adj. 【常见】满的；充满的；完全的；adv. 【常见】完全地","原生基础词，古英语 full，无词根拆分","I'm full. I can't eat more.","我饱了，吃不下去了。"
"months","/mʌnθs/","n. 【常见】月（month 的复数）","month（月）+ 后缀-s（复数后缀）","I'll see you in two months.","我两个月后见你。"
"save","/seɪv/","v. 【常见】救；节省；保存；储蓄","原生基础词，古英语 sǣfan（救），无词根拆分","Save your money.","存好你的钱。"
"sometimes","/ˈsʌmtaɪmz/","adv. 【常见】有时；偶尔","some（一些）+ times（次数）","Sometimes I go for a walk.","有时我去散步。"
"become","/bɪˈkʌm/","v. 【常见】变得；成为；适合","前缀be-（使）+ come（来）","She became a teacher.","她成为了一名教师。"
"along","/əˈlɒŋ/","adv. 【常见】沿着；向前；prep. 【常见】沿着","a-（在…状态）+ long（长的）","Walk along the street.","沿着街道走。"
"hate","/heɪt/","v. 【常见】恨；憎恨；不喜欢；n. 【常见】憎恨；厌恶","原生基础词，古英语 hatian，无词根拆分","I hate waking up early.","我讨厌早起。"
"food","/fuːd/","n. 【常见】食物；食品；养料；精神食粮","原生基础词，古英语 fōda，无词根拆分","We need food and water.","我们需要食物和水。"
"outside","/ˌaʊtˈsaɪd/","adv. 【常见】在外面；n. 【常见】外部；prep. 【常见】在…外面","out（在外）+ side（边）","It's cold outside.","外面很冷。"
"light","/laɪt/","n. 【常见】光；灯；adj. 【常见】轻的；v. 【常见】点燃","原生基础词，古英语 lēoht（光），无词根拆分","Turn on the light.","打开灯。"
"l","/el/","n. 【常见】字母 L；n. 【常见】（书面语）我（I 的变体）","原生基础词，字母名，无词根拆分","L is the 12th letter.","L是第12个字母。"
"needs","/niːdz/","v. 【常见】需要（need 的第三人称单数）；n. 【常见】需求（need 的复数）","need（需要）+ 后缀-s（第三人称单数/复数后缀）","She needs a new car.","她需要一辆新车。"
"dog","/dɒɡ/","n. 【常见】狗；犬；v. 【常见】跟踪；困扰","原生基础词，古英语 docga，无词根拆分","I have a dog.","我有一只狗。"
"country","/ˈkʌntri/","n. 【常见】国家；乡村；农村；地区","原生基础词，源自拉丁语 contrata（对面的），无词根拆分","China is a great country.","中国是一个伟大的国家。"
"clear","/klɪə(r)/","adj. 【常见】清楚的；清晰的；v. 【常见】清除；使清楚","原生基础词，源自拉丁语 clarus（明亮的），无词根拆分","It's clear to me.","对我来说很清楚。"
