英文单词,音标,中文释义,语素（前缀/词根/后缀）及含义,英语例句,例句翻译
on,/ɒn/,prep. 【常见】在…上；关于；在…时候；adv. 【常见】继续；开着,原生基础词，古英语 on，无词根拆分,The book is on the table.,书在桌子上。
have,/hæv/,v. 【常见】有；吃；经历；aux. 【常见】（构成完成时）,原生基础词，古英语 habban，无词根拆分,I have a car.,我有一辆车。
your,/jɔː(r)/,pron. 【常见】你的；你们的,原生基础词，古英语 ēower，无词根拆分,Is this your bag?,这是你的包吗？
do,/duː/,v. 【常见】做；干；办；aux. 【常见】（构成疑问/否定/强调）,原生基础词，古英语 dōn，无词根拆分,I do my homework every day.,我每天都做作业。
was,/wəz/,v. 【常见】是；在（be 的过去式，第一/第三人称单数）,原生基础词，古英语 wæs，无词根拆分,He was a teacher.,他曾是一名教师。
'm,/m/,【常见】v. 是（be 动词第一人称单数现在时，只搭配主语 I）；am 的缩略形式（I'm = I am）,原生基础词，am 的缩略形式，无词根拆分,I'm a student.,我是一名学生。
no,/nəʊ/,adv. 【常见】不；adj. 【常见】没有；决非,原生基础词，古英语 nā，无词根拆分,I have no money.,我没有钱。
not,/nɒt/,adv. 【常见】不；没有（构成否定）,原生基础词，古英语 nāwiht（无物），无词根拆分,I am not happy.,我不开心。
be,/biː/,v. 【常见】是；在；成为；aux. 【常见】（构成进行时/被动语态）,原生基础词，古英语 bēon，无词根拆分,I want to be a doctor.,我想成为一名医生。
are,/ɑː(r)/,v. 【常见】是；在（be 的现在式，第二人称及复数）,原生基础词，古英语 earun，无词根拆分,You are my friend.,你是我的朋友。
don,/dəʊn/,【常见】不要；不（实义动词的否定形式，主语非第三人称单数现在时使用）don't = do not,do（做）+ not（不）的缩略形式，无词根拆分,Don't be late.,别迟到。
're,/ə(r)/,【常见】v. 是（be 动词复数 / 第二人称单数现在式）are 的缩略形式（you're = you are）,原生基础词，are 的缩略形式，无词根拆分,You're right.,你是对的。
know,/nəʊ/,v. 【常见】知道；认识；通晓；懂得,原生基础词，古英语 cnāwan，无词根拆分,I know the answer.,我知道答案。
can,/kæn/,aux. 【常见】能；可以；可能；v. 【常见】把…装罐,原生基础词，古英语 cunnan（知道、会），无词根拆分,I can swim.,我会游泳。
with,/wɪð/,prep. 【常见】和；用；具有；随着,原生基础词，古英语 wið，无词根拆分,I go with my friend.,我和我的朋友一起去。
but,/bʌt/,conj. 【常见】但是；可是；然而；prep. 【常见】除了,原生基础词，古英语 būtan（在外面），无词根拆分,"I am tired, but happy.",我累了，但很开心。
all,/ɔːl/,adj. 【常见】所有的；全部的；adv. 【常见】完全；pron. 【常见】全部,原生基础词，古英语 eall，无词根拆分,All students must attend.,所有学生都必须参加。
so,/səʊ/,conj. 【常见】因此；所以；adv. 【常见】这么；那么；如此,原生基础词，古英语 swā，无词根拆分,"I was tired, so I went to bed.",我累了，所以去睡觉了。
just,/dʒʌst/,adv. 【常见】刚才；正好；仅仅；adj. 【常见】公正的,原生基础词，源自拉丁语 iustus（公正的），无词根拆分,I just arrived.,我刚到。
there,/ðeə(r)/,adv. 【常见】在那里；在那里；pron. 【常见】（与 be 连用表示存在）,原生基础词，古英语 þǣr，无词根拆分,There is a book on the table.,桌子上有一本书。
