"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"playing","/ˈpleɪɪŋ/","v. 【常见】玩；演奏（play 的现在分词）","play（玩）+ 后缀-ing（现在分词后缀）","The children are playing outside.","孩子们在外面玩。"
"gets","/ɡets/","v. 【常见】获得；到达（get 的第三人称单数）","get（获得）+ 后缀-s（第三人称单数后缀）","She gets up at six.","她六点起床。"
"shot","/ʃɒt/","n. 【常见】射击；开枪；镜头；投篮；v. 【常见】射击（shoot 的过去式及过去分词）","原生基础词，古英语 sceot（射击），无词根拆分","He took a shot at the target.","他向目标开了一枪。"
"reason","/ˈriːzn/","n. 【常见】理由；原因；推理；v. 【常见】推理","原生基础词，源自拉丁语 ratio（计算），无词根拆分","What's the reason for your decision?","你做决定的原因是什么？"
"trouble","/ˈtrʌbl/","n. 【常见】麻烦；困难；v. 【常见】使烦恼；麻烦","原生基础词，源自拉丁语 turbidus（混乱的），无词根拆分","I'm sorry to trouble you.","对不起打扰你了。"
"break","/breɪk/","v. 【常见】打破；折断；破坏；休息；n. 【常见】破裂；休息","原生基础词，古英语 brecan，无词根拆分","Don't break the window.","别打碎窗户。"
"war","/wɔː(r)/","n. 【常见】战争；斗争；v. 【常见】打仗","原生基础词，古英语 werre，无词根拆分","War is terrible.","战争是可怕的。"
"city","/ˈsɪti/","n. 【常见】城市；都市；全市","原生基础词，源自拉丁语 civitas（公民团体），无词根拆分","I live in a big city.","我住在一个大城市里。"
"walk","/wɔːk/","v. 【常见】走；步行；散步；n. 【常见】散步；步行","原生基础词，古英语 wealcan，无词根拆分","I walk to school.","我步行去学校。"
"town","/taʊn/","n. 【常见】城镇；市镇；商业中心","原生基础词，古英语 tūn（围场），无词根拆分","He lives in a small town.","他住在一个小镇上。"
"trust","/trʌst/","v. 【常见】信任；相信；委托；n. 【常见】信任；信赖","原生基础词，古英语 trēowe（忠实的），无词根拆分","I trust you.","我信任你。"
"dr.","/ˈdɒktə(r)/","n. 【常见】博士；医生（Doctor 的缩写）","Doctor 的缩写形式，无词根拆分","Dr. Smith is a great physician.","史密斯博士是一位伟大的医生。"
"met","/met/","v. 【常见】遇见（meet 的过去式及过去分词）","meet（遇见）+ 过去式形态变化，无词根拆分","I met her yesterday.","我昨天遇见她了。"
"office","/ˈɒfɪs/","n. 【常见】办公室；办事处；政府机关；官职","原生基础词，源自拉丁语 officium（职责），无词根拆分","I work in an office.","我在办公室工作。"
"question","/ˈkwestʃən/","n. 【常见】问题；疑问；v. 【常见】询问；质疑","原生基础词，源自拉丁语 quaestio（询问），无词根拆分","May I ask a question?","我可以问一个问题吗？"
"brought","/brɔːt/","v. 【常见】带来（bring 的过去式及过去分词）","bring（带来）+ 过去式形态变化，无词根拆分","She brought me a gift.","她给我带来了一份礼物。"
"yours","/jɔːz/","pron. 【常见】你的；你们的（名词性物主代词）","your（你的）+ 后缀-s（名词性物主代词后缀）","Is this book yours?","这本书是你的吗？"
"welcome","/ˈwelkəm/","v. 【常见】欢迎；int. 【常见】欢迎；adj. 【常见】受欢迎的","原生基础词，古英语 wilcuma（受欢迎的客人），无词根拆分","Welcome to our home.","欢迎来到我们家。"
"high","/haɪ/","adj. 【常见】高的；高级的；adv. 【常见】高；n. 【常见】高峰","原生基础词，古英语 hēah，无词根拆分","The mountain is high.","这座山很高。"
"wow","/waʊ/","int. 【常见】哇（表示惊讶、惊叹）","原生基础词，拟声词，无词根拆分","Wow! That's amazing!","哇！太神奇了！"
