英文单词,音标,中文释义,语素（前缀/词根/后缀）及含义,英语例句,例句翻译
sighs,/saɪz/,v. 【常见】叹息（sigh 的第三人称单数）；n. 【常见】叹息声（sigh 的复数）,sigh（叹息）+ 后缀-s（第三人称单数/复数后缀）,She sighs when she is tired.,她累了就会叹气。
sort,/sɔːt/,n. 【常见】种类；类别；v. 【常见】分类；整理,原生基础词，源自拉丁语 sors（命运、种类），无词根拆分,What sort of music do you like?,你喜欢哪种音乐？
leaving,/ˈliːvɪŋ/,v. 【常见】离开（leave 的现在分词）,leave（离开）+ 后缀-ing（现在分词后缀）,I'm leaving tomorrow.,我明天离开。
shouldn,/ˈʃʊdnt/,【常见】不应该；不该；should not 的缩略形式（shouldn't = should not）,should（应该）+ not（不）的缩略形式,You shouldn't do that.,你不应该那样做。
running,/ˈrʌnɪŋ/,v. 【常见】跑（run 的现在分词）；n. 【常见】跑步；管理,run（跑）+ 后缀-ing（现在分词后缀）,He is running fast.,他跑得很快。
boss,/bɒs/,n. 【常见】老板；上司；首领；v. 【常见】指挥；管束,原生基础词，源自荷兰语 baas（主人），无词根拆分,My boss is very strict.,我的老板很严厉。
alright,/ɔːlˈraɪt/,adj. 【常见】好的；可以的；adv. 【常见】好吧；没问题,all（全部）+ right（对的）的口语变体,Everything will be alright.,一切都会好的。
promise,/ˈprɒmɪs/,v. 【常见】承诺；答应；n. 【常见】诺言；承诺,原生基础词，源自拉丁语 promissum（已承诺的事），无词根拆分,I promise to help you.,我承诺帮你。
taken,/ˈteɪkən/,v. 【常见】拿；取（take 的过去分词）,take（拿）+ 后缀-en（过去分词后缀）,The medicine has been taken.,药已经吃了。
safe,/seɪf/,adj. 【常见】安全的；平安的；n. 【常见】保险箱,原生基础词，源自拉丁语 salvus（安全的），无词根拆分,Drive safe.,安全驾驶。
ma,/mɑː/,n. 【常见】妈妈（非正式）,mother 的口语变体，无词根拆分,"Ma, I'm home.",妈，我回来了。
book,/bʊk/,n. 【常见】书；书籍；本子；v. 【常见】预订；登记,原生基础词，古英语 bōc，无词根拆分,I read a book.,我读一本书。
sent,/sent/,v. 【常见】发送（send 的过去式及过去分词）,send（发送）+ 过去式形态变化，无词根拆分,I sent you an email.,我给你发了一封邮件。
white,/waɪt/,adj. 【常见】白色的；n. 【常见】白色,原生基础词，古英语 hwīt，无词根拆分,She has a white dress.,她有一条白裙子。
hour,/ˈaʊə(r)/,n. 【常见】小时；钟点；课时；时间,原生基础词，源自拉丁语 hora（小时），无词根拆分,I work for eight hours a day.,我一天工作八小时。
anybody,/ˈenibɒdi/,pron. 【常见】任何人；无论谁,any（任何）+ body（人）,Is anybody there?,有人在吗？
small,/smɔːl/,adj. 【常见】小的；少的；不重要的；adv. 【常见】小地,原生基础词，古英语 smæl，无词根拆分,I have a small car.,我有一辆小车。
perfect,/ˈpɜːfɪkt/,adj. 【常见】完美的；极好的；v. 【常见】使完美,前缀per-（完全）+ 词根fect-（做）,Practice makes perfect.,熟能生巧。
'cause,/kɒz/,conj. 【常见】因为（because 的口语缩略形式）,because 的口语缩略形式，无词根拆分,I'm happy 'cause I'm with you.,我开心因为我和你在一起。
lives,/lɪvz/,v. 【常见】生活（live 的第三人称单数）；n. 【常见】生命（life 的复数）,live（生活）/ life（生命）+ 后缀-s（第三人称单数/复数后缀）,He lives in New York.,他住在纽约。
