"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"you","/juː/","pron. 【常见】你；你们；任何人","原生基础词，古英语 ēow（宾格），无词根拆分","You are my best friend.","你是我最好的朋友。"
"I","/aɪ/","pron. 【常见】我","原生基础词，古英语 ic（主格），无词根拆分","I love you.","我爱你。"
"the","/ðə/","art. 【常见】这；那；这些；那些","原生基础词，古英语 sē（那个），无词根拆分","The sun is shining.","太阳正照耀着。"
"to","/tuː/","prep. 【常见】向；到；对；给；不定式标志","原生基础词，古英语 tō，无词根拆分","I go to school every day.","我每天去上学。"
"a","/ə/","art. 【常见】一（个）；每一（个）；任一","原生基础词，古英语 ān（一）的弱读形式，无词根拆分","I have a car.","我有一辆车。"
"'s","/z/","【常见】...的；是；has 的缩略","原生基础词，古英语 -es（所有格后缀），无词根拆分","My friend's house is big.","我朋友的房子很大。"
"it","/ɪt/","pron. 【常见】它；这；那；作非人称代词","原生基础词，古英语 hit，无词根拆分","It is raining outside.","外面正在下雨。"
"and","/ænd/","conj. 【常见】和；而且；那么","原生基础词，古英语 and，无词根拆分","I like tea and coffee.","我喜欢茶和咖啡。"
"that","/ðæt/","pron. 【常见】那个；conj. 【常见】引导从句","原生基础词，古英语 þæt（中性指示代词），无词根拆分","I know that he is coming.","我知道他要来。"
"'t","/t/","【常见】not 的缩略形式（如 isn't = is not）","原生基础词，not 的缩略形式，无词根拆分","Don't forget to call me.","别忘了给我打电话。"
"of","/əv/","prep. 【常见】…的；关于；由…组成","原生基础词，古英语 of（从、离开），无词根拆分","The color of the sky is blue.","天空的颜色是蓝色的。"
"is","/ɪz/","v. 【常见】是（be 的第三人称单数现在时）","原生基础词，古英语 is，无词根拆分","She is a teacher.","她是一位老师。"
"in","/ɪn/","prep. 【常见】在…里；在…中；在…期间","原生基础词，古英语 in，无词根拆分","The book is in the bag.","书在包里。"
"what","/wɒt/","pron. 【常见】什么；adj. 【常见】多么；什么样的","原生基础词，古英语 hwæt，无词根拆分","What do you want?","你想要什么？"
"we","/wiː/","pron. 【常见】我们","原生基础词，古英语 wē，无词根拆分","We are going to the park.","我们要去公园。"
"me","/miː/","pron. 【常见】我（宾格）","原生基础词，古英语 mē，无词根拆分","Please give me the book.","请把书给我。"
"this","/ðɪs/","pron. 【常见】这个；adj. 【常见】这；这个","原生基础词，古英语 þes（阳性），无词根拆分","This is my favorite song.","这是我最喜欢的歌。"
"he","/hiː/","pron. 【常见】他；它（雄性动物）","原生基础词，古英语 hē，无词根拆分","He is my brother.","他是我兄弟。"
"for","/fɔː(r)/","prep. 【常见】为；给；为了；因为；conj. 【常见】因为","原生基础词，古英语 for，无词根拆分","This gift is for you.","这份礼物是给你的。"
"my","/maɪ/","pron. 【常见】我的","原生基础词，古英语 mīn，无词根拆分","This is my house.","这是我的房子。"
