"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"also","/ˈɔːlsəʊ/","adv. 【常见】也；而且；此外","all（全部）+ so（如此）","I also like swimming.","我也喜欢游泳。"
"pretty","/ˈprɪti/","adj. 【常见】漂亮的；adv. 【常见】相当；颇","原生基础词，古英语 prættig（狡猾的），无词根拆分","She is very pretty.","她很漂亮。"
"bit","/bɪt/","n. 【常见】一点；少许；片刻；v. 咬（bite 的过去式）","原生基础词，古英语 bita（咬下的一块），无词根拆分","Wait a bit.","等一会儿。"
"took","/tʊk/","v. 【常见】拿；取；花费（take 的过去式）","take（拿）+ 过去式形态变化，无词根拆分","I took a bus to work.","我坐公交车去上班。"
"haven","/ˈheɪvn/","v. 【常见】have not 的缩略形式（haven't = have not）","have（有）+ not（不）的缩略形式","I haven't seen him.","我没见过他。"
"yet","/jet/","adv. 【常见】还；仍然；已经；conj. 【常见】然而","原生基础词，古英语 gīet，无词根拆分","I haven't finished yet.","我还没完成。"
"men","/men/","n. 【常见】男人（man 的复数）；人类","man（男人）+ 复数形态变化，无词根拆分","All men are born equal.","人人生而平等。"
"whole","/həʊl/","adj. 【常见】全部的；完整的；n. 【常见】整体","原生基础词，古英语 hāl（健康的），无词根拆分","I ate the whole cake.","我吃了整个蛋糕。"
"start","/stɑːt/","v. 【常见】开始；启动；出发 n. 【常见】开始；启动","原生基础词，古英语 styrtan，无词根拆分","Start the car.","启动汽车。"
"use","/juːz/","v. 【常见】使用；利用；耗费 n. 【常见】用途；使用","原生基础词，古英语 ūsian，无词根拆分","I use a computer every day.","我每天用电脑。"
"while","/waɪl/","conj. 【常见】当…时；虽然；而；n. 【常见】一会儿","原生基础词，古英语 hwīl，无词根拆分","I read while she slept.","她睡觉时我在看书。"
"since","/sɪns/","conj. 【常见】自从；既然；prep. 【常见】自从…以后","原生基础词，古英语 siþþan（此后），无词根拆分","I have been here since Monday.","我从周一开始就在这里。"
"wife","/waɪf/","n. 【常见】妻子；夫人；太太","原生基础词，古英语 wīf（女性），无词根拆分","My wife is a teacher.","我的妻子是老师。"
"days","/deɪz/","n. 【常见】日子；时期（day 的复数）","day（日子）+ 后缀-s（复数后缀）","These days are busy.","这些天很忙。"
"guess","/ɡes/","v. 【常见】猜测；推测；n. 【常见】猜测","原生基础词，古英语 gæsan（推测），无词根拆分","I guess you're right.","我猜你是对的。"
"tomorrow","/təˈmɒrəʊ/","n. 【常见】明天；未来；adv. 【常见】在明天","to（到）+ morrow（早晨）","See you tomorrow.","明天见。"
"matter","/ˈmætə(r)/","n. 【常见】事情；问题；物质；v. 【常见】要紧；重要","原生基础词，源自拉丁语 materia（物质），无词根拆分","What's the matter?","怎么了？"
"meet","/miːt/","v. 【常见】遇见；见面；满足；符合","原生基础词，古英语 mētan，无词根拆分","Nice to meet you.","很高兴见到你。"
"bring","/brɪŋ/","v. 【常见】带来；引出；促使；拿来","原生基础词，古英语 bringan，无词根拆分","Bring your book tomorrow.","明天带上你的书。"
"tonight","/təˈnaɪt/","n. 【常见】今晚；adv. 【常见】在今晚","to（到）+ night（夜）","I'll call you tonight.","我今晚会给你打电话。"
