"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"star","/stɑː(r)/","n. 【常见】星；明星；v. 【常见】主演","原生基础词，古英语 steorra，无词根拆分","There are many stars in the sky.","天空中有很多星星。"
"sea","/siː/","n. 【常见】海；海洋；大量","原生基础词，古英语 sǣ，无词根拆分","We can see the sea from here.","我们从这里可以看到大海。"
"agree","/əˈɡriː/","v. 【常见】同意；赞成；一致","前缀a-（加强）+ 词根gree-（满意、高兴）","I agree with you.","我同意你的看法。"
"problems","/ˈprɒbləmz/","n. 【常见】问题（problem 的复数）","problem（问题）+ 后缀-s（复数后缀）","We have many problems.","我们有很多问题。"
"detective","/dɪˈtektɪv/","n. 【常见】侦探；警探；adj. 【常见】侦探的","detect（侦察）+ 后缀-ive（名词/形容词后缀）","He is a private detective.","他是一名私家侦探。"
"prison","/ˈprɪzn/","n. 【常见】监狱；监禁；v. 【常见】关押","原生基础词，源自拉丁语 prensio（抓住），无词根拆分","He is in prison.","他在监狱里。"
"major","/ˈmeɪdʒə(r)/","adj. 【常见】主要的；较大的；n. 【常见】专业；少校","原生基础词，源自拉丁语 maior（更大的），无词根拆分","It's a major problem.","这是一个主要问题。"
"stick","/stɪk/","v. 【常见】贴；粘；插入；n. 【常见】棍；棒","原生基础词，古英语 stician（刺入），无词根拆分","Stick the paper on the wall.","把纸贴在墙上。"
"offer","/ˈɒfə(r)/","v. 【常见】提供；提出；n. 【常见】提供；报价","前缀of-（向）+ fer（携带）","I offered to help.","我提出帮忙。"
"difficult","/ˈdɪfɪkəlt/","adj. 【常见】困难的；难对付的；不随和的","前缀dif-（不）+ 词根fic-（做）+ 后缀-ult（形容词后缀）","This is too difficult.","这太难了。"
"smart","/smɑːt/","adj. 【常见】聪明的；机敏的；时髦的；v. 【常见】感到刺痛","原生基础词，古英语 smeart（刺痛），无词根拆分","You are very smart.","你很聪明。"
"personal","/ˈpɜːsənl/","adj. 【常见】个人的；私人的；亲自的","person（人）+ 后缀-al（形容词后缀）","This is my personal opinion.","这是我个人的看法。"
"record","/ˈrekɔːd/","n. 【常见】记录；唱片；v. 【常见】记录；录音","前缀re-（再）+ 词根cord-（心、记忆）","He holds the world record.","他保持着世界纪录。"
"stopped","/stɒpt/","v. 【常见】停止（stop 的过去式及过去分词）","stop（停止）+ 后缀-ed（过去式/过去分词后缀）","The car stopped suddenly.","汽车突然停了下来。"
"hide","/haɪd/","v. 【常见】藏；隐藏；掩盖；n. 【常见】兽皮","原生基础词，古英语 hȳdan（隐藏），无词根拆分","Where did you hide it?","你把它藏在哪里了？"
"whether","/ˈweðə(r)/","conj. 【常见】是否；不管；无论","原生基础词，古英语 hwæþer（哪一个），无词根拆分","I don't know whether he will come.","我不知道他是否会来。"
"bank","/bæŋk/","n. 【常见】银行；岸；河堤；v. 【常见】把…存入银行","原生基础词，源自意大利语 banca（长凳），无词根拆分","I need to go to the bank.","我需要去银行。"
"trip","/trɪp/","n. 【常见】旅行；旅程；v. 【常见】绊倒；出差错","原生基础词，古英语 trippa（踩踏），无词根拆分","We went on a trip.","我们去旅行了。"
"relax","/rɪˈlæks/","v. 【常见】放松；休息；变得轻松","前缀re-（再）+ lax（放松的）","Relax, everything is fine.","放松，一切都会好的。"
"america","/əˈmerɪkə/","n. 【常见】美国；美洲","源自人名 Amerigo Vespucci，无词根拆分","I live in America.","我住在美国。"
