英文单词,音标,中文释义,语素（前缀/词根/后缀）及含义,英语例句,例句翻译
security,/sɪˈkjʊərəti/,n. 【常见】安全；安保；保障；抵押品,secure（安全的）+ 后缀-ity（名词后缀）,Security is very tight here.,这里安保很严格。
certainly,/ˈsɜːtnli/,adv. 【常见】当然；确实；肯定,certain（确定的）+ 后缀-ly（副词后缀）,I will certainly help you.,我当然会帮你。
film,/fɪlm/,n. 【常见】电影；胶片；薄膜；v. 【常见】拍摄,原生基础词，古英语 filmen（薄膜），无词根拆分,Let's watch a film.,我们看电影吧。
month,/mʌnθ/,n. 【常见】月份；月；一个月的时间,原生基础词，古英语 mōnaþ，无词根拆分,My birthday is this month.,我的生日在这个月。
lying,/ˈlaɪɪŋ/,v. 【常见】躺；说谎（lie 的现在分词）,lie（躺/说谎）+ 后缀-ing（现在分词后缀）,He is lying in bed.,他躺在床上。
unless,/ənˈles/,conj. 【常见】除非；如果不,un-（在…之外）+ less（更少的）,I won't go unless you come.,除非你来，否则我不去。
train,/treɪn/,n. 【常见】火车；列车；v. 【常见】训练；培训,原生基础词，源自拉丁语 trahere（拉），无词根拆分,I go by train.,我坐火车去。
seven,/ˈsevn/,num. 【常见】七；七个,原生基础词，古英语 seofon，无词根拆分,Seven days make a week.,七天构成一周。
wear,/weə(r)/,v. 【常见】穿；戴；磨损；n. 【常见】服装；磨损,原生基础词，古英语 werian（穿），无词根拆分,I wear a coat in winter.,我冬天穿外套。
clothes,/kləʊðz/,n. 【常见】衣服；服装,cloth（布）+ 复数形态变化,I need to buy new clothes.,我需要买新衣服。
michael,/ˈmaɪkl/,n. 【常见】迈克尔（男子名）,源自希伯来语 Mīkhā'ēl（谁能像上帝？），无词根拆分,Michael is my friend.,迈克尔是我的朋友。
hotel,/həʊˈtel/,n. 【常见】旅馆；酒店；饭店,原生基础词，源自法语 hôtel，无词根拆分,We stayed at a hotel.,我们住在一家旅馆。
christmas,/ˈkrɪsməs/,n. 【常见】圣诞节；圣诞日,Christ（基督）+ mass（弥撒）,Merry Christmas!,圣诞快乐！
attack,/əˈtæk/,v./n. 【常见】攻击；进攻；抨击；发作,前缀at-（向）+ 词根tack-（接触、攻击）,The army attacked at dawn.,军队在黎明时进攻了。
hasn,/ˈhæznt/,【常见】还没有；未曾；has not 的缩略形式（hasn't = has not）,has（有）+ not（不）的缩略形式,He hasn't come yet.,他还没来。
round,/raʊnd/,adj. 【常见】圆的；adv. 【常见】环绕；prep. 【常见】在…周围,原生基础词，源自拉丁语 rotundus（圆的），无词根拆分,The ball is round.,球是圆的。
expect,/ɪkˈspekt/,v. 【常见】期待；期望；预料；要求,前缀ex-（向外）+ 词根spect-（看）,I expect you to come.,我期待你来。
sing,/sɪŋ/,v. 【常见】唱；唱歌；鸣叫,原生基础词，古英语 singan，无词根拆分,She sings beautifully.,她唱得很美。
terrible,/ˈterəbl/,adj. 【常见】可怕的；糟糕的；极度的,terror（恐怖）+ 后缀-ible（可…的）,The weather is terrible.,天气很糟糕。
george,/dʒɔːdʒ/,n. 【常见】乔治（男子名）,源自希腊语 geōrgos（农民），无词根拆分,George is my brother.,乔治是我的兄弟。
