"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"dress","/dres/","n. 【常见】连衣裙；衣服；v. 【常见】穿衣服；打扮","原生基础词，源自拉丁语 directus（直的），无词根拆分","She is wearing a beautiful dress.","她穿着一件漂亮的连衣裙。"
"mary","/ˈmeəri/","n. 【常见】玛丽（女子名）","源自希伯来语 Miryam，无词根拆分","Mary is my sister.","玛丽是我的妹妹。"
"missed","/mɪst/","v. 【常见】想念；错过（miss 的过去式及过去分词）","miss（想念/错过）+ 后缀-ed（过去式/过去分词后缀）","I missed the bus.","我错过了公交车。"
"scene","/siːn/","n. 【常见】场景；现场；景色；v. 【常见】拍摄","原生基础词，源自希腊语 skēnē（舞台），无词根拆分","The scene is beautiful.","景色很漂亮。"
"killing","/ˈkɪlɪŋ/","v. 【常见】杀死（kill 的现在分词）；n. 【常见】杀戮；谋杀","kill（杀死）+ 后缀-ing（现在分词/名词后缀）","The killing was brutal.","这起谋杀很残忍。"
"standing","/ˈstændɪŋ/","v. 【常见】站（stand 的现在分词）；n. 【常见】地位；站立","stand（站）+ 后缀-ing（现在分词/名词后缀）","He is standing there.","他站在那里。"
"saved","/seɪvd/","v. 【常见】救；节省（save 的过去式及过去分词）","save（救/节省）+ 后缀-ed（过去式/过去分词后缀）","She saved my life.","她救了我的命。"
"mm","/m/","int. 【常见】嗯（表示同意或思考）","原生基础词，拟声词，无词根拆分","Mm, I see.","嗯，我明白了。"
"respect","/rɪˈspekt/","v. 【常见】尊重；尊敬；n. 【常见】尊重；方面","前缀re-（再）+ 词根spect-（看）","I respect your opinion.","我尊重你的看法。"
"killer","/ˈkɪlə(r)/","n. 【常见】杀手；凶手；adj. 【常见】致命的","kill（杀）+ 后缀-er（名词后缀，表人）","The killer was arrested.","凶手被抓住了。"
"ice","/aɪs/","n. 【常见】冰；冰块；v. 【常见】冰镇","原生基础词，古英语 īs，无词根拆分","Ice is melting.","冰正在融化。"
"mess","/mes/","n. 【常见】混乱；脏乱；v. 【常见】弄乱；搞糟","原生基础词，源自拉丁语 missus（送餐），无词根拆分","My room is a mess.","我的房间一团糟。"
"tough","/tʌf/","adj. 【常见】艰苦的；坚韧的；严厉的；adv. 【常见】强硬地","原生基础词，古英语 tōh（坚韧的），无词根拆分","It's a tough job.","这是一份艰苦的工作。"
"feels","/fiːlz/","v. 【常见】感觉（feel 的第三人称单数）","feel（感觉）+ 后缀-s（第三人称单数后缀）","She feels happy.","她感到快乐。"
"church","/tʃɜːtʃ/","n. 【常见】教堂；教会；礼拜","原生基础词，古英语 cirice，无词根拆分","We go to church on Sunday.","我们星期天去教堂。"
"sad","/sæd/","adj. 【常见】悲伤的；难过的；令人遗憾的","原生基础词，古英语 sæd（满足的），无词根拆分","Why are you so sad?","你为什么这么难过？"
"cell","/sel/","n. 【常见】细胞；牢房；电池；v. 【常见】住在牢房","原生基础词，源自拉丁语 cella（小房间），无词根拆分","Prisoners are in their cells.","囚犯在牢房里。"
"drunk","/drʌŋk/","adj. 【常见】醉的；陶醉的；n. 【常见】醉汉；v. 【常见】喝（drink 的过去分词）","drink（喝）+ 过去分词形态变化，无词根拆分","He is drunk.","他醉了。"
"share","/ʃeə(r)/","v. 【常见】分享；分担；n. 【常见】份额；股份","原生基础词，古英语 scearu（份额），无词根拆分","Let's share the cake.","我们来分享蛋糕吧。"
"camera","/ˈkæmərə/","n. 【常见】照相机；摄像机；摄影机","原生基础词，源自拉丁语 camera（房间），无词根拆分","I need a camera.","我需要一架照相机。"
