"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"live","/lɪv/","v. 【常见】居住；生活；活着；adj. 【常见】活的；现场直播的","原生基础词，古英语 lifian，无词根拆分","I live in Beijing.","我住在北京。"
"miss","/mɪs/","v. 【常见】想念；错过；未击中；n. 【常见】小姐（Miss）","原生基础词，古英语 missan（未击中），无词根拆分","I miss you so much.","我很想念你。"
"actually","/ˈæktʃuəli/","adv. 【常见】实际上；事实上；确实","actual（实际的）+ 后缀-ly（副词后缀）","Actually, I don't agree.","实际上，我不同意。"
"huh","/hʌ/","int. 【常见】嗯；啊（表示疑问、惊讶或轻蔑）","原生基础词，拟声词，无词根拆分","Huh? What did you say?","嗯？你说什么？"
"shit","/ʃɪt/","n. 【常见】屎；粪便；int. 【常见】该死；呸（粗俗语）","原生基础词，古英语 scitte（腹泻），无词根拆分","Oh shit, I forgot my keys.","哦糟了，我忘了带钥匙。"
"both","/bəʊθ/","pron. 【常见】两者都；adj. 【常见】两者的；adv. 【常见】两者都","原生基础词，古英语 bā，无词根拆分","Both of them are students.","他们两个都是学生。"
"heard","/hɜːd/","v. 【常见】听见（hear 的过去式及过去分词）","hear（听见）+ 后缀-ed（过去式/过去分词后缀）","I heard a strange noise.","我听到一个奇怪的声音。"
"once","/wʌns/","adv. 【常见】一次；曾经；一旦；conj. 【常见】一旦","one（一）+ 后缀-ce（副词后缀）","I once lived in London.","我曾经在伦敦住过。"
"ready","/ˈredi/","adj. 【常见】准备好的；愿意的；乐意的","原生基础词，古英语 rǣde（准备好的），无词根拆分","I'm ready to go.","我准备好出发了。"
"head","/hed/","n. 【常见】头；首脑；上端；v. 【常见】率领；朝向","原生基础词，古英语 hēafod，无词根拆分","He nodded his head.","他点了点头。"
"called","/kɔːld/","v. 【常见】叫；称呼；打电话（call 的过去式及过去分词）","call（叫）+ 后缀-ed（过去式/过去分词后缀）","She called me yesterday.","她昨天给我打电话了。"
"used","/juːzd/","v. 【常见】使用（use 的过去式及过去分词）；adj. 【常见】用过的；习惯的","use（使用）+ 后缀-ed（过去式/过去分词后缀）","I used to live here.","我曾经住在这里。"
"idea","/aɪˈdɪə/","n. 【常见】想法；主意；概念；印象","原生基础词，源自希腊语 idea（观念），无词根拆分","That's a good idea.","那是个好主意。"
"knew","/njuː/","v. 【常见】知道（know 的过去式）","know（知道）+ 过去式形态变化，无词根拆分","I knew the answer.","我知道答案。"
"hold","/həʊld/","v. 【常见】拿住；持有；保持；举行 n. 握；持有","原生基础词，古英语 healdan，无词根拆分","Hold the rope tight.","抓紧绳子。"
"happy","/ˈhæpi/","adj. 【常见】快乐的；幸福的；满意的","hap（运气、机会）+ 后缀-py（形容词后缀）","I'm happy to see you.","我很高兴见到你。"
"door","/dɔː(r)/","n. 【常见】门；门口；通道","原生基础词，古英语 duru，无词根拆分","Please close the door.","请关上门。"
"such","/sʌtʃ/","adj. 【常见】这样的；如此的；adv. 【常见】那么","原生基础词，古英语 swilc，无词根拆分","I have never seen such a big dog.","我从没见过这么大的狗。"
"fuck","/fʌk/","v. 【常见】性交；int. 【常见】他妈的（粗俗语）","原生基础词，源自德语 ficken，无词根拆分","What the fuck!","他妈的搞什么！"
"brother","/ˈbrʌðə(r)/","n. 【常见】兄弟；同事；同胞","原生基础词，古英语 brōþor，无词根拆分","I have two brothers.","我有两个兄弟。"
