"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"bag","/bæɡ/","n. 【常见】袋；包；书包；v. 【常见】把…装袋；抢占","原生基础词，古英语 bæg（袋子），无词根拆分","I carry my bag on my back.","我把包背在背上。"
"history","/ˈhɪstri/","n. 【常见】历史；历史学；过去的事","原生基础词，源自希腊语 historia（调查），无词根拆分","History repeats itself.","历史会重演。"
"blue","/bluː/","adj. 【常见】蓝色的；忧郁的；n. 【常见】蓝色","原生基础词，古英语 blǣw（蓝色），无词根拆分","The sky is blue.","天空是蓝色的。"
"near","/nɪə(r)/","adv. 【常见】近；附近；prep. 【常见】在…附近；adj. 【常见】近的","原生基础词，古英语 nēar（更近），无词根拆分","The school is near my house.","学校在我家附近。"
"broke","/brəʊk/","v. 【常见】打破（break 的过去式）；adj. 【常见】破产的；身无分文的","break（打破）+ 过去式形态变化，无词根拆分","He broke the window.","他打碎了窗户。"
"station","/ˈsteɪʃn/","n. 【常见】车站；电视台；岗位；v. 【常见】安置","原生基础词，源自拉丁语 statio（站立处），无词根拆分","I'll meet you at the station.","我在车站接你。"
"seriously","/ˈsɪəriəsli/","adv. 【常见】认真地；严肃地；严重地","serious（严肃的）+ 后缀-ly（副词后缀）","He is seriously ill.","他病得很重。"
"forever","/fərˈevə(r)/","adv. 【常见】永远；永久地","for（为了）+ ever（永远）","I will love you forever.","我会永远爱你。"
"david","/ˈdeɪvɪd/","n. 【常见】大卫（男子名）","源自希伯来语 Dawid（被爱者），无词根拆分","David is my friend.","大卫是我的朋友。"
"frank","/fræŋk/","adj. 【常见】坦白的；直率的；n. 【常见】弗兰克（男子名）","原生基础词，源自拉丁语 francus（自由的），无词根拆分","To be frank, I don't like it.","坦白说，我不喜欢。"
"except","/ɪkˈsept/","prep. 【常见】除…之外；v. 【常见】把…除外","前缀ex-（向外）+ 词根cept-（拿、取）","Everyone came except John.","除了约翰，每个人都来了。"
"thinks","/θɪŋks/","v. 【常见】想（think 的第三人称单数）","think（想）+ 后缀-s（第三人称单数后缀）","He thinks he is right.","他认为他是对的。"
"message","/ˈmesɪdʒ/","n. 【常见】消息；信息；口信；v. 【常见】发消息","原生基础词，源自拉丁语 missus（发送），无词根拆分","I received your message.","我收到了你的消息。"
"entire","/ɪnˈtaɪə(r)/","adj. 【常见】全部的；整个的；完整的","原生基础词，源自拉丁语 integer（完整的），无词根拆分","I ate the entire cake.","我吃了整个蛋糕。"
"joe","/dʒəʊ/","n. 【常见】乔（男子名，Joseph 的昵称）","Joseph 的昵称，无词根拆分","Joe is my neighbor.","乔是我的邻居。"
"table","/ˈteɪbl/","n. 【常见】桌子；表格；目录；v. 【常见】提出；搁置","原生基础词，源自拉丁语 tabula（木板），无词根拆分","The cup is on the table.","杯子在桌子上。"
"talked","/tɔːkt/","v. 【常见】谈话（talk 的过去式及过去分词）","talk（谈话）+ 后缀-ed（过去式/过去分词后缀）","We talked for hours.","我们谈了几个小时。"
"across","/əˈkrɒs/","prep. 【常见】横过；在…对面；adv. 【常见】横过","a-（在…状态）+ cross（横过）","Walk across the street.","走过马路。"
"rock","/rɒk/","n. 【常见】岩石；摇滚乐；v. 【常见】摇动；震动","原生基础词，古英语 rocc（岩石），无词根拆分","The rock is huge.","岩石很大。"
"lovely","/ˈlʌvli/","adj. 【常见】可爱的；令人愉快的；极好的","love（爱）+ 后缀-ly（形容词后缀）","You look lovely today.","你今天看起来很可爱。"
