"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"kids","/kɪdz/","n. 【常见】孩子们（kid 的复数）；v. 开玩笑（kid 的第三人称单数）","kid（小孩/开玩笑）+ 后缀-s（复数/第三人称单数后缀）","The kids are playing outside.","孩子们在外面玩。"
"late","/leɪt/","adj. 【常见】迟的；晚的；adv. 【常见】迟；晚","原生基础词，古英语 læt（缓慢的），无词根拆分","Don't be late for class.","上课别迟到。"
"stuff","/stʌf/","n. 【常见】东西；材料；n. 物品；v. 装满；填塞","原生基础词，古英语 stoppian（塞住），无词根拆分","I have a lot of stuff to do.","我有很多事要做。"
"exactly","/ɪɡˈzæktli/","adv. 【常见】确切地；精确地；正是","exact（精确的）+ 后缀-ly（副词后缀）","That's exactly what I mean.","那正是我的意思。"
"under","/ˈʌndə(r)/","prep. 【常见】在…下面；少于；adv. 【常见】在下面","原生基础词，古英语 under，无词根拆分","The cat is under the table.","猫在桌子下面。"
"death","/deθ/","n. 【常见】死；死亡；灭亡；死神","原生基础词，古英语 dēaþ，无词根拆分","Death is part of life.","死亡是生命的一部分。"
"minute","/ˈmɪnɪt/","n. 【常见】分钟；一会儿；adj. 【常见】微小的","原生基础词，源自拉丁语 minuta（小的），无词根拆分","Wait a minute, please.","请等一会儿。"
"pay","/peɪ/","v. 【常见】支付；付款；付出代价 n. 工资；报酬","原生基础词，古英语 pāgian，无词根拆分","I pay for the meal.","我付了餐费。"
"crazy","/ˈkreɪzi/","adj. 【常见】疯狂的；荒唐的；着迷的","原生基础词，源自中古英语 craze（碎裂），无词根拆分","You are crazy!","你疯了！"
"forget","/fəˈɡet/","v. 【常见】忘记；遗忘；忽略","前缀for-（离开）+ get（得到）","Don't forget your homework.","别忘了你的作业。"
"everybody","/ˈevribɒdi/","pron. 【常见】每个人；人人","every（每个）+ body（人）","Everybody loves him.","每个人都喜欢他。"
"kid","/kɪd/","n. 【常见】小孩；年轻人；v. 【常见】开玩笑；戏弄","原生基础词，古英语 cīd（幼羊），无词根拆分","The kid is my nephew.","那孩子是我外甥。"
"change","/tʃeɪndʒ/","v. 【常见】改变；更换；兑换 n. 变化；零钱","原生基础词，源自拉丁语 cambiare（交换），无词根拆分","Change your plan.","改变你的计划。"
"gave","/ɡeɪv/","v. 【常见】给（give 的过去式）","give（给）+ 过去式形态变化，无词根拆分","She gave me a gift.","她给了我一礼物。"
"happen","/ˈhæpən/","v. 【常见】发生；碰巧；恰好","原生基础词，源自中古英语 hap（运气），无词根拆分","What happened?","发生了什么事？"
"damn","/dæm/","int. 【常见】该死；v. 【常见】谴责；n. 【常见】诅咒","原生基础词，源自拉丁语 damnare（惩罚），无词根拆分","Damn it!","该死！"
"five","/faɪv/","num. 【常见】五；五个","原生基础词，古英语 fīf，无词根拆分","I have five fingers.","我有五根手指。"
"drink","/drɪŋk/","v. 【常见】喝；饮酒；n. 【常见】饮料；酒","原生基础词，古英语 drincan，无词根拆分","I drink coffee every morning.","我每天早上喝咖啡。"
"far","/fɑː(r)/","adv. 【常见】远；遥远地；adj. 【常见】远的","原生基础词，古英语 feorr，无词根拆分","How far is the station?","车站有多远？"
"knows","/nəʊz/","v. 【常见】知道（know 的第三人称单数）","know（知道）+ 后缀-s（第三人称单数后缀）","He knows the answer.","他知道答案。"
