"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"each","/iːtʃ/","adj. 【常见】各自的；pron. 【常见】每个；各自","原生基础词，古英语 ǣlc，无词根拆分","Each of them is different.","他们每个人都不一样。"
"worry","/ˈwʌri/","v. 【常见】担心；担忧；n. 【常见】烦恼；忧虑","原生基础词，古英语 wyrgan（绞死、扼杀），无词根拆分","Don't worry about me.","别担心我。"
"later","/ˈleɪtə(r)/","adv. 【常见】后来；过后；adj. 【常见】更迟的","late（迟的）+ 后缀-er（比较级后缀）","See you later.","回头见。"
"year","/jɪə(r)/","n. 【常见】年；年份；年龄；学年","原生基础词，古英语 ġēar，无词根拆分","He is ten years old.","他十岁了。"
"watch","/wɒtʃ/","v. 【常见】看；观看；监视；注意 n. 手表；看管","原生基础词，古英语 wæccan，无词根拆分","I watch TV in the evening.","我晚上看电视。"
"music","/ˈmjuːzɪk/","n. 【常见】音乐；乐曲；乐谱","原生基础词，源自希腊语 mousikē（缪斯的艺术），无词根拆分","I like music.","我喜欢音乐。"
"hand","/hænd/","n. 【常见】手；指针；v. 【常见】递交；给予","原生基础词，古英语 hand，无词根拆分","Raise your hand.","举起你的手。"
"having","/ˈhævɪŋ/","v. 【常见】有（have 的现在分词）","have（有）+ 后缀-ing（现在分词后缀）","I'm having a great time.","我玩得很开心。"
"probably","/ˈprɒbəbli/","adv. 【常见】大概；很可能；或许","probable（可能的）+ 后缀-ly（副词后缀）","He is probably at home.","他大概在家。"
"beautiful","/ˈbjuːtɪfl/","adj. 【常见】美丽的；漂亮的；出色的","beauty（美）+ 后缀-ful（充满…的）","She is a beautiful girl.","她是一个漂亮的女孩。"
"doctor","/ˈdɒktə(r)/","n. 【常见】医生；博士；诊所","原生基础词，源自拉丁语 doctor（教师），无词根拆分","I need to see a doctor.","我需要看医生。"
"sit","/sɪt/","v. 【常见】坐；就座；开会 n. 坐姿","原生基础词，古英语 sittan，无词根拆分","Please sit down.","请坐下。"
"eat","/iːt/","v. 【常见】吃；吃饭；腐蚀；消耗","原生基础词，古英语 etan，无词根拆分","I eat breakfast at seven.","我七点吃早餐。"
"thinking","/ˈθɪŋkɪŋ/","v. 【常见】想（think 的现在分词）；n. 【常见】想法；思想","think（想）+ 后缀-ing（现在分词后缀）","What are you thinking about?","你在想什么？"
"young","/jʌŋ/","adj. 【常见】年轻的；幼小的；有朝气的 n. 年轻人","原生基础词，古英语 ġeong，无词根拆分","She is young and beautiful.","她年轻漂亮。"
"second","/ˈsekənd/","n. 【常见】秒；第二；adj. 【常见】第二的；次要的","原生基础词，源自拉丁语 secundus（跟随），无词根拆分","I need a second.","我需要一秒钟。"
"working","/ˈwɜːkɪŋ/","v. 【常见】工作（work 的现在分词）；adj. 【常见】工作的；运转的","work（工作）+ 后缀-ing（现在分词后缀）","I'm working on a project.","我在做一个项目。"
"water","/ˈwɔːtə(r)/","n. 【常见】水；水面；水域；v. 给…浇水；加水","原生基础词，古英语 wæter，无词根拆分","Please give me a glass of water.","请给我一杯水。"
"person","/ˈpɜːsn/","n. 【常见】人；个人；人身；本人","原生基础词，源自拉丁语 persona，无词根拆分","She is a nice person.","她是一个好人。"
"part","/pɑːt/","n. 【常见】部分；零件；角色；v. 【常见】分离；分开","原生基础词，源自拉丁语 pars（部分），无词根拆分","This is the best part.","这是最好的部分。"
