"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"sell","/sel/","v. 【常见】卖；出售；推销；n. 【常见】欺骗；推销术","原生基础词，古英语 sellan，无词根拆分","He sells his car.","他卖掉了他的车。"
"dark","/dɑːk/","adj. 【常见】黑暗的；深色的；n. 【常见】黑暗","原生基础词，古英语 deorc，无词根拆分","It's getting dark.","天快黑了。"
"watching","/ˈwɒtʃɪŋ/","v. 【常见】看（watch 的现在分词）","watch（看）+ 后缀-ing（现在分词后缀）","I'm watching TV.","我在看电视。"
"system","/ˈsɪstəm/","n. 【常见】系统；制度；体制；方法","原生基础词，源自希腊语 systēma（组合），无词根拆分","The system needs improvement.","这个系统需要改进。"
"suppose","/səˈpəʊz/","v. 【常见】猜想；认为；假定；期望","前缀sup-（在…下）+ 词根pos-（放置）+ -e（动词尾缀）","I suppose you're right.","我想你是对的。"
"evidence","/ˈevɪdəns/","n. 【常见】证据；根据；迹象；v. 【常见】证明","前缀e-（向外）+ 词根vid-（看）+ 后缀-ence（名词后缀）","There is no evidence.","没有证据。"
"movie","/ˈmuːvi/","n. 【常见】电影；电影院","move（移动）+ 后缀-ie（名词后缀）","Let's watch a movie.","我们看电影吧。"
"ride","/raɪd/","v. 【常见】骑；乘坐；n. 【常见】乘车；骑行","原生基础词，古英语 rīdan（骑），无词根拆分","I ride a bike to school.","我骑自行车上学。"
"t","/tiː/","n. 【常见】字母 T；n. 【常见】茶（tea 的口语变体）","原生基础词，字母名，无词根拆分","T is the 20th letter.","T是第20个字母。"
"completely","/kəmˈpliːtli/","adv. 【常见】完全地；彻底地","complete（完全的）+ 后缀-ly（副词后缀）","I completely agree.","我完全同意。"
"mouth","/maʊθ/","n. 【常见】嘴巴；开口；河口；v. 【常见】不出声地说","原生基础词，古英语 mūþ，无词根拆分","Open your mouth.","张开你的嘴。"
"totally","/ˈtəʊtəli/","adv. 【常见】完全地；彻底地","total（总的）+ 后缀-ly（副词后缀）","That's totally different.","那完全不同。"
"birthday","/ˈbɜːθdeɪ/","n. 【常见】生日；诞辰","birth（出生）+ day（日子）","Happy birthday!","生日快乐！"
"tv","/ˌtiːˈviː/","n. 【常见】电视；电视机（television 的缩写）","television 的缩写，无词根拆分","I watch TV every evening.","我每晚看电视。"
"forgive","/fəˈɡɪv/","v. 【常见】原谅；饶恕；宽恕","前缀for-（离开）+ give（给）","Please forgive me.","请原谅我。"
"born","/bɔːn/","v. 【常见】出生（bear 的过去分词）；adj. 【常见】天生的","bear（生育）+ 过去分词形态变化","I was born in China.","我出生在中国。"
"imagine","/ɪˈmædʒɪn/","v. 【常见】想象；设想；猜想","前缀im-（进入）+ 词根mag-（头脑、思考）+ -ine（动词尾缀）","Imagine you are rich.","想象一下你很有钱。"
"information","/ˌɪnfəˈmeɪʃn/","n. 【常见】信息；资料；知识","前缀in-（进入）+ 词根form-（形式）+ 后缀-ation（名词后缀）","I need more information.","我需要更多信息。"
"instead","/ɪnˈsted/","adv. 【常见】代替；反而；","前缀in-（在）+ stead（地方）","I'll go instead.","我替你去。"
"definitely","/ˈdefɪnətli/","adv. 【常见】明确地；肯定地；确实","definite（明确的）+ 后缀-ly（副词后缀）","I will definitely come.","我肯定会来。"
