"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"looked","/lʊkt/","v. 【常见】看（look 的过去式及过去分词）","look（看）+ 后缀-ed（过去式/过去分词后缀）","She looked at me.","她看着我。"
"less","/les/","adj. 【常见】更少的；较小的；adv. 【常见】较少地；更少地","原生基础词，古英语 lǣssa，无词根拆分","I eat less meat now.","我现在吃更少的肉。"
"pull","/pʊl/","v. 【常见】拉；拖；拔；n. 【常见】拉；拉力","原生基础词，古英语 pullian，无词根拆分","Pull the rope tight.","把绳子拉紧。"
"beat","/biːt/","v. 【常见】打；敲；打败；心跳；n. 【常见】节拍；心跳","原生基础词，古英语 bēatan（打），无词根拆分","He beat me in the game.","他在比赛中打败了我。"
"careful","/ˈkeəfl/","adj. 【常见】小心的；仔细的；细致的","care（关心）+ 后缀-ful（充满…的）","Be careful when you cross the street.","过马路时要小心。"
"coffee","/ˈkɒfi/","n. 【常见】咖啡；咖啡豆；咖啡色","原生基础词，源自阿拉伯语 qahwah，无词根拆分","I like coffee.","我喜欢咖啡。"
"return","/rɪˈtɜːn/","v. 【常见】返回；归还；回复；n. 【常见】返回；回报","前缀re-（回）+ 词根turn-（转）","I will return the book tomorrow.","我明天会还书。"
"secret","/ˈsiːkrət/","n. 【常见】秘密；奥秘；adj. 【常见】秘密的","原生基础词，源自拉丁语 secretus（秘密的），无词根拆分","Can you keep a secret?","你能保守秘密吗？"
"weeks","/wiːks/","n. 【常见】星期；周（week 的复数）","week（周）+ 后缀-s（复数后缀）","I will see you in two weeks.","我两周后见你。"
"weren","/wɜːnt/","【常见】were not 的缩略形式（weren't = were not）","were（是）+ not（不）的缩略形式","They weren't there.","他们不在那里。"
"date","/deɪt/","n. 【常见】日期；约会；枣；v. 【常见】约会；注明日期","原生基础词，源自拉丁语 data（日期），无词根拆分","What's the date today?","今天几号？"
"seeing","/ˈsiːɪŋ/","v. 【常见】看见（see 的现在分词）；conj. 【常见】鉴于；因为","see（看见）+ 后缀-ing（现在分词后缀）","I'm seeing him tomorrow.","我明天要见他。"
"fall","/fɔːl/","v. 【常见】落下；跌倒；下降；n. 【常见】秋天；落下","原生基础词，古英语 feallan，无词根拆分","Be careful not to fall.","小心别摔倒。"
"given","/ˈɡɪvn/","v. 【常见】给（give 的过去分词）；adj. 【常见】给定的；prep. 【常见】鉴于","give（给）+ 后缀-en（过去分词后缀）","Given the situation, we should wait.","鉴于目前的情况，我们应该等待。"
"ooh","/uː/","int. 【常见】哦；哇（表示惊讶、赞赏或痛苦）","原生基础词，拟声词，无词根拆分","Ooh, that's beautiful!","哇，好美！"
"fault","/fɔːlt/","n. 【常见】错误；缺点；故障；v. 【常见】责备","原生基础词，古英语 fēagan（缺乏），无词根拆分","It's not my fault.","不是我的错。"
"straight","/streɪt/","adj. 【常见】直的；诚实的；adv. 【常见】直接地；直地","原生基础词，古英语 streht（拉直的），无词根拆分","Go straight ahead.","一直向前走。"
"takes","/teɪks/","v. 【常见】拿；取（take 的第三人称单数）","take（拿）+ 后缀-s（第三人称单数后缀）","He takes the bus to work.","他坐公交车去上班。"
"song","/sɒŋ/","n. 【常见】歌曲；歌唱；v. 【常见】唱","原生基础词，古英语 sang，无词根拆分","She sings a beautiful song.","她唱了一首优美的歌。"
"future","/ˈfjuːtʃə(r)/","n. 【常见】未来；将来；adj. 【常见】未来的","原生基础词，源自拉丁语 futurus（将要来的），无词根拆分","The future is bright.","未来是光明的。"
