"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"force","/fɔːs/","n. 【常见】力量；武力；力；v. 【常见】强迫；用力推动","原生基础词，源自拉丁语 fortis（强壮的），无词根拆分","Don't force me to do it.","别强迫我做这件事。"
"short","/ʃɔːt/","adj. 【常见】短的；矮的；不足的；adv. 【常见】突然地；n. 【常见】短片","原生基础词，古英语 sceort，无词根拆分","She has short hair.","她有短头发。"
"normal","/ˈnɔːml/","adj. 【常见】正常的；标准的；n. 【常见】正常状态","norm（标准）+ 后缀-al（形容词后缀）","I just want a normal life.","我只想要正常的生活。"
"charlie","/ˈtʃɑːli/","n. 【常见】查理（男子名）","Charles 的昵称，无词根拆分","Charlie is my friend.","查理是我的朋友。"
"present","/ˈpreznt/","n. 【常见】礼物；目前；adj. 【常见】现在的；在场的；v. 【常见】呈现；赠送","前缀pre-（在前）+ 词根sent-（存在）","I gave her a present.","我给了她一份礼物。"
"enjoy","/ɪnˈdʒɔɪ/","v. 【常见】享受；喜爱；过得愉快","前缀en-（使）+ joy（快乐）","I enjoy reading.","我喜欢阅读。"
"mike","/maɪk/","n. 【常见】麦克风；n. 【常见】迈克（男子名）","microphone 的缩写；Michael 的昵称，无词根拆分","Mike is my friend.","迈克是我的朋友。"
"crime","/kraɪm/","n. 【常见】罪行；犯罪；罪恶","原生基础词，源自拉丁语 crimen（指控），无词根拆分","Crime is increasing.","犯罪正在增加。"
"horse","/hɔːs/","n. 【常见】马；马科动物；v. 【常见】骑马","原生基础词，古英语 hors，无词根拆分","She can ride a horse.","她会骑马。"
"ground","/ɡraʊnd/","n. 【常见】地面；土地；理由；v. 【常见】使停飞","ground（地面）+ 后缀-ed","The ball fell to the ground.","球掉到了地上。"
"american","/əˈmerɪkən/","n. 【常见】美国人；adj. 【常见】美国的；美洲的","America（美国）+ 后缀-an（名词/形容词后缀）","She is American.","她是美国人。"
"count","/kaʊnt/","v. 【常见】数数；计算；重要；n. 【常见】总数；伯爵","原生基础词，源自拉丁语 computare（计算），无词根拆分","Count the money, please.","请数一下钱。"
"area","/ˈeəriə/","n. 【常见】区域；面积；领域；范围","原生基础词，源自拉丁语 area（空地），无词根拆分","This is a safe area.","这是一个安全区域。"
"charge","/tʃɑːdʒ/","v. 【常见】收费；充电；指控；n. 【常见】费用；指控","原生基础词，源自拉丁语 carricare（装载），无词根拆分","How much do you charge?","你收多少钱？"
"honor","/ˈɒnə(r)/","n. 【常见】荣誉；尊敬；v. 【常见】尊敬；给予荣誉","原生基础词，源自拉丁语 honor，无词根拆分","It's an honor to meet you.","很荣幸见到你。"
"lunch","/lʌntʃ/","n. 【常见】午餐；午饭；v. 【常见】吃午餐","原生基础词，无词根拆分","I have lunch at noon.","我中午吃午餐。"
"miles","/maɪlz/","n. 【常见】英里（mile 的复数）","mile（英里）+ 后缀-s（复数后缀）","I walked two miles.","我走了两英里。"
"radio","/ˈreɪdiəʊ/","n. 【常见】收音机；无线电；v. 【常见】用无线电发送","radi（辐射）+ 后缀-o（名词后缀）","I listen to the radio.","我听收音机。"
"idiot","/ˈɪdiət/","n. 【常见】傻瓜；笨蛋","原生基础词，源自希腊语 idiōtēs（普通人），无词根拆分","Don't be an idiot.","别当傻瓜。"
"ball","/bɔːl/","n. 【常见】球；球状物；舞会","原生基础词，源自古英语 *beall（球），无词根拆分","Pass the ball to me.","把球传给我。"
