"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"first","/fɜːst/","adj. 【常见】第一的；【常见】首要的；adv. 【常见】首先；最初；n. 【常见】第一；开始","原生基础词，古英语 fyrest（fore的最级），无词根拆分","This is my first visit to Beijing.","这是我第一次来北京。"
"into","/ˈɪntuː/","prep. 【常见】进入；【常见】到…里；【常见】成为","in（在…里）+ to（向）","I went into the room.","我走进了房间。"
"anything","/ˈeniθɪŋ/","pron. 【常见】任何事；【常见】任何东西；【常见】随便什么","any（任何）+ thing（东西、事情）","Do you need anything?","你需要什么吗？"
"still","/stɪl/","adv. 【常见】仍然；【常见】还；adj. 【常见】静止的；v. 【常见】使静止","原生基础词，古英语 stille（静止的），无词根拆分","I still love you.","我仍然爱你。"
"find","/faɪnd/","v. 【常见】找到；【常见】发现；【常见】发觉；认为","原生基础词，古英语 findan，无词根拆分","I can't find my keys.","我找不到我的钥匙了。"
"life","/laɪf/","n. 【常见】生命；【常见】生活；【常见】一生；【常见】活力","原生基础词，古英语 līf，无词根拆分","Life is beautiful.","生活是美好的。"
"nothing","/ˈnʌθɪŋ/","pron. 【常见】没有什么；【常见】没有东西；adv. 【常见】毫不","no（没有）+ thing（东西）","I have nothing to say.","我没什么要说的。"
"sir","/sɜː(r)/","n. 【常见】先生；【常见】阁下；【常见】爵士","原生基础词，古英语 sire（主人、阁下），无词根拆分","Can I help you, sir?","先生，我能帮您吗？"
"day","/deɪ/","n. 【常见】一天；【常见】白天；【常见】日子；时代","原生基础词，古英语 dæg，无词根拆分","What a beautiful day!","多美好的一天啊！"
"god","/ɡɒd/","n. 【常见】神；【常见】上帝；【常见】偶像；v. 【常见】神化","原生基础词，古英语 god，无词根拆分","God bless you.","上帝保佑你。"
"work","/wɜːk/","v. 【常见】工作；【常见】运作；【常见】起作用；n. 【常见】工作；【常见】作品","原生基础词，古英语 weorc，无词根拆分","I work in a hospital.","我在医院工作。"
"their","/ðeə(r)/","pron. 【常见】他/她/它们的（所有格）","原生基础词，古英语 þāra，无词根拆分","Their house is very big.","他们的房子很大。"
"uh","/ʌ/","int. 【常见】嗯；啊（表示犹豫、停顿）","原生基础词，拟声词，无词根拆分","Uh, I'm not sure.","嗯，我不确定。"
"again","/əˈɡeɪn/","adv. 【常见】再一次；【常见】又；【常见】重新","原生基础词，古英语 ongean（对面、再次），无词根拆分","See you again.","再见。"
"maybe","/ˈmeɪbi/","adv. 【常见】也许；【常见】可能；大概","may（可能）+ be（是）","Maybe he is right.","也许他是对的。"
"must","/mʌst/","aux. 【常见】必须；【常见】一定；【常见】必然；v. 【常见】必须","原生基础词，古英语 mōste（必须），无词根拆分","You must finish your homework.","你必须完成作业。"
"before","/bɪˈfɔː(r)/","prep. 【常见】在…以前；【常见】在…前面；conj. 【常见】在…之前；adv. 【常见】以前","be（在）+ fore（前面）","Please come before 8 o'clock.","请在八点之前来。"
"other","/ˈʌðə(r)/","adj. 【常见】其他的；【常见】另外的；pron. 【常见】其他；另一个","原生基础词，古英语 ōþer，无词根拆分","Do you have any other questions?","你还有其他问题吗？"
"wait","/weɪt/","v. 【常见】等待；【常见】等候；盼望；n. 【常见】等待","原生基础词，古英语 wæccan（看、保持警惕），无词根拆分","Please wait for me.","请等我。"
"stop","/stɒp/","v. 【常见】停止；【常见】阻止；【常见】停下；n. 【常见】停止；车站","原生基础词，古英语 stoppian，无词根拆分","Stop talking, please.","请停止说话。"
