"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"handle","/ˈhændl/","v. 【常见】处理；操作；拿；n. 【常见】把手；柄","hand（手）+ 后缀-le（动词/名词后缀）","I can handle it.","我能处理。"
"middle","/ˈmɪdl/","n. 【常见】中部；中间；adj. 【常见】中部的；中间的","原生基础词，古英语 middel，无词根拆分","I sat in the middle.","我坐在中间。"
"buddy","/ˈbʌdi/","n. 【常见】朋友；伙伴；哥们儿","brother（兄弟）的变体，无词根拆分","Hey buddy, how are you?","嘿哥们儿，你好吗？"
"paid","/peɪd/","v. 【常见】支付（pay 的过去式及过去分词）；adj. 【常见】有报酬的","pay（支付）+ 后缀-ed（过去式/过去分词后缀）","I paid for the meal.","我付了餐费。"
"protect","/prəˈtekt/","v. 【常见】保护；保卫；防护","前缀pro-（向前）+ 词根tect-（遮盖）","We must protect the environment.","我们必须保护环境。"
"using","/ˈjuːzɪŋ/","v. 【常见】使用（use 的现在分词）","use（使用）+ 后缀-ing（现在分词后缀）","I'm using a computer.","我在用电脑。"
"floor","/flɔː(r)/","n. 【常见】地板；楼层；地面；v. 【常见】在…铺地板","原生基础词，古英语 flōr，无词根拆分","The book is on the floor.","书在地板上。"
"ran","/ræn/","v. 【常见】跑（run 的过去式）","run（跑）+ 过去式形态变化，无词根拆分","He ran fast.","他跑得很快。"
"swear","/sweə(r)/","v. 【常见】发誓；咒骂","原生基础词，古英语 swerian（发誓），无词根拆分","I swear I'll be there.","我发誓我会在那里。"
"spend","/spend/","v. 【常见】花费；度过；消耗","原生基础词，源自拉丁语 expendere（称量），无词根拆分","I spend too much money.","我花太多钱了。"
"situation","/ˌsɪtʃuˈeɪʃn/","n. 【常见】情况；处境；形势","situate（位于）+ 后缀-ion（名词后缀）","It's a difficult situation.","这是一个困难的处境。"
"ring","/rɪŋ/","n. 【常见】戒指；铃声；圆圈；v. 【常见】打电话；响铃","原生基础词，古英语 hring（圆环），无词根拆分","I'll ring you later.","我晚点打给你。"
"anywhere","/ˈeniweə(r)/","adv. 【常见】任何地方；无论何处","any（任何）+ where（哪里）","I can't find it anywhere.","我在任何地方都找不到它。"
"dangerous","/ˈdeɪndʒərəs/","adj. 【常见】危险的；不安全的","danger（危险）+ 后缀-ous（形容词后缀）","It's dangerous to drive fast.","开快车很危险。"
"bill","/bɪl/","n. 【常见】账单；钞票；法案；v. 【常见】给…开账单","原生基础词，源自拉丁语 bulla（印章），无词根拆分","Can I have the bill, please?","请给我账单。"
"york","/jɔːk/","n. 【常见】约克（城市名）","地名，源自拉丁语 Eboracum，无词根拆分","I live in New York.","我住在纽约。"
"army","/ˈɑːmi/","n. 【常见】军队；陆军；大批","词根arm-（武装）+ 后缀-y（名词后缀）","He joined the army.","他参了军。"
"lead","/liːd/","v. 【常见】带领；领导；引导；n. 【常见】领导；线索","原生基础词，古英语 lǣdan（引导），无词根拆分","She leads the team.","她领导这个团队。"
"bought","/bɔːt/","v. 【常见】买（buy 的过去式及过去分词）","buy（买）+ 过去式形态变化，无词根拆分","I bought a new car.","我买了一辆新车。"
"finished","/ˈfɪnɪʃt/","v. 【常见】完成（finish 的过去式及过去分词）；adj. 【常见】完成的","finish（完成）+ 后缀-ed（过去式/过去分词后缀）","I finished my homework.","我完成了我的作业。"
