"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"gotta","/ˈɡɒtə/","v. 【常见】必须；要（got to 的口语缩略形式）","got（得到）+ to（不定式）的口语缩略","I gotta go now.","我得走了。"
"ago","/əˈɡəʊ/","adv. 【常见】以前；从前","原生基础词，古英语 āgān（过去），无词根拆分","I met her two years ago.","我两年前见过她。"
"open","/ˈəʊpən/","v. 【常见】打开；开始；开放 adj. 【常见】开着的；开放的","原生基础词，古英语 openian，无词根拆分","Open the window, please.","请打开窗户。"
"anyone","/ˈeniwʌn/","pron. 【常见】任何人；无论谁","any（任何）+ one（人）","Does anyone know the answer?","有人知道答案吗？"
"killed","/kɪld/","v. 【常见】杀死（kill 的过去式及过去分词）","kill（杀死）+ 后缀-ed（过去式/过去分词后缀）","He was killed in the war.","他在战争中丧生了。"
"hope","/həʊp/","v. 【常见】希望；期望 n. 【常见】希望；期望","原生基础词，古英语 hopa（信心），无词根拆分","I hope you can come.","希望你能来。"
"face","/feɪs/","n. 【常见】脸；表面；v. 【常见】面对；面临","原生基础词，源自拉丁语 facies（外表），无词根拆分","She has a beautiful face.","她有一张漂亮的脸。"
"until","/ənˈtɪl/","prep. 【常见】直到…为止；conj. 【常见】直到…时","un-（到）+ till（直到）","Wait until I come back.","等到我回来。"
"lost","/lɒst/","v. 【常见】丢失（lose 的过去式及过去分词）；adj. 【常见】迷失的","lose（丢失）+ 后缀-ed（过去式/过去分词后缀）","I lost my keys.","我丢了钥匙。"
"police","/pəˈliːs/","n. 【常见】警察；警察当局；治安","原生基础词，源自拉丁语 politia（政府），无词根拆分","The police caught the thief.","警察抓住了小偷。"
"excuse","/ɪkˈskjuːs/","v. 【常见】原谅；免除；n. 【常见】借口；理由","前缀ex-（向外）+ 词根cus-（原因、控告）","Excuse me, where is the bank?","打扰一下，银行在哪里？"
"turn","/tɜːn/","v. 【常见】转动；转变；变成；翻 n. 转动；轮流","原生基础词，古英语 turnian，无词根拆分","Turn left at the corner.","在拐角左转。"
"business","/ˈbɪznəs/","n. 【常见】商业；生意；事务；公司","busy（忙的）+ 后缀-ness（名词后缀）","I have to go on business.","我得出差。"
"case","/keɪs/","n. 【常见】情况；案例；病例；箱子；案件","原生基础词，源自拉丁语 casus（跌落、事件），无词根拆分","In that case, I'll stay.","既然那样，我就留下。"
"wants","/wɒnts/","v. 【常见】想要（want 的第三人称单数）","want（想要）+ 后缀-s（第三人称单数后缀）","She wants a new car.","她想要一辆新车。"
"says","/sez/","v. 【常见】说（say 的第三人称单数）","say（说）+ 后缀-s（第三人称单数后缀）","He says he is tired.","他说他累了。"
"true","/truː/","adj. 【常见】真的；真实的；忠诚的","原生基础词，古英语 trēowe（忠实的），无词根拆分","Is that true?","那是真的吗？"
"die","/daɪ/","v. 【常见】死；死亡；灭亡；渴望","原生基础词，古英语 dīegan，无词根拆分","People die of old age.","人们因衰老而死。"
"heart","/hɑːt/","n. 【常见】心脏；心；内心；勇气","原生基础词，古英语 heorte，无词根拆分","I love you with all my heart.","我全心全意爱你。"
"soon","/suːn/","adv. 【常见】很快；不久；早；快","原生基础词，古英语 sōna，无词根拆分","I will come back soon.","我很快就会回来。"
