"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"best","/best/","adj. 【常见】最好的；最大的；adv. 【常见】最好地；最","good/well 的最高级，原生基础词，古英语 betst","She is my best friend.","她是我最好的朋友。"
"mom","/mɒm/","n. 【常见】妈妈（非正式）","原生基础词，mother 的口语变体，无词根拆分","My mom is a teacher.","我妈妈是老师。"
"hell","/hel/","n. 【常见】地狱；极大的痛苦；int. 【常见】该死","原生基础词，古英语 hel，无词根拆分","What the hell are you doing?","你到底在干什么？"
"morning","/ˈmɔːnɪŋ/","n. 【常见】早晨；上午；黎明","原生基础词，古英语 morgen，无词根拆分","I get up early in the morning.","我早上起得早。"
"trying","/ˈtraɪɪŋ/","v. 【常见】尝试（try 的现在分词）；adj. 【常见】令人厌烦的；难对付的","try（尝试）+ 后缀-ing（现在分词后缀）","I'm trying my best.","我在尽最大努力。"
"boy","/bɔɪ/","n. 【常见】男孩；少年；儿子","原生基础词，古英语 bōia，无词根拆分","The boy is my brother.","那个男孩是我弟弟。"
"together","/təˈɡeðə(r)/","adv. 【常见】一起；共同；同时","to（向）+ gether（聚集）","Let's go together.","我们一起去吧。"
"yourself","/jɔːˈself/","pron. 【常见】你自己；你们自己","your（你的）+ self（自己）","Take care of yourself.","保重自己。"
"job","/dʒɒb/","n. 【常见】工作；职业；任务；v. 【常见】做零工","原生基础词，无词根拆分","I need to find a job.","我需要找一份工作。"
"saw","/sɔː/","v. 【常见】看见（see 的过去式）；n. 【常见】锯子；v. 【常见】锯","原生基础词，古英语 sēah（see的过去式），无词根拆分","I saw him yesterday.","我昨天看见他了。"
"family","/ˈfæməli/","n. 【常见】家庭；家人；家族；adj. 【常见】家庭的；家族的","原生基础词，源自拉丁语 familia，无词根拆分","I have a big family.","我有一个大家庭。"
"real","/rɪəl/","adj. 【常见】真实的；真正的；adv. 【常见】非常（口语）","原生基础词，源自拉丁语 regalis（王室的），无词根拆分","Is this real?","这是真的吗？"
"without","/wɪˈðaʊt/","prep. 【常见】没有；无；不；adv. 【常见】在外面","with（和）+ out（在外面）","I can't live without you.","没有你我活不下去。"
"baby","/ˈbeɪbi/","n. 【常见】婴儿；宝贝；v. 【常见】像对待婴儿般对待","原生基础词，源自法语 bébé，无词根拆分","The baby is sleeping.","婴儿在睡觉。"
"room","/ruːm/","n. 【常见】房间；空间；余地；v. 【常见】租房","原生基础词，古英语 rūm（空间），无词根拆分","There is no room in the bag.","包里没有空间了。"
"wouldn","/ˈwʊdnt/","【常见】would not 的缩略形式（wouldn't = would not）","would（将）+ not（不）的缩略形式","I wouldn't do that.","我不会那么做。"
"already","/ɔːlˈredi/","adv. 【常见】已经；早已","all（全部）+ ready（准备好的）","I've already eaten.","我已经吃过了。"
"move","/muːv/","v. 【常见】移动；搬动；感动；n. 【常见】移动；动作","原生基础词，古英语 mōvian，无词根拆分","Please move your chair.","请挪动你的椅子。"
"most","/məʊst/","adv. 【常见】最；非常；adj. 【常见】最多的；大多数的","原生基础词，古英语 mǣst，无词根拆分","Most people like music.","大多数人都喜欢音乐。"
"seen","/siːn/","v. 【常见】看见（see 的过去分词）","see（看见）+ 后缀-en（过去分词后缀）","I have never seen her before.","我以前从未见过她。"
