"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"lot","/lɒt/","n. 【常见】大量；许多；抽签；v. 【常见】抽签；划分","原生基础词，古英语 hlot（抽签），无词根拆分","There are a lot of people here.","这里有很多人。"
"done","/dʌn/","v. 【常见】做（do 的过去分词）；adj. 【常见】完成的；煮熟的","原生基础词，古英语 dōn（do的过去分词），无词根拆分","I have done my homework.","我已经完成了作业。"
"hello","/həˈləʊ/","int. 【常见】你好；喂（打招呼）","原生基础词，可能源自法语 holà（喂），无词根拆分","Hello, how are you?","你好，你好吗？"
"nice","/naɪs/","adj. 【常见】好的；令人愉快的；友好的；细致的","原生基础词，源自拉丁语 nescius（无知的），无词根拆分","Nice to meet you.","很高兴见到你。"
"believe","/bɪˈliːv/","v. 【常见】相信；认为；信任；信仰","前缀be-（使）+ lieve（相信），古英语 gelīefan","I believe you.","我相信你。"
"girl","/ɡɜːl/","n. 【常见】女孩；少女；女儿","原生基础词，古英语 gyrle，无词根拆分","The girl is my sister.","那个女孩是我妹妹。"
"someone","/ˈsʌmwʌn/","pron. 【常见】某人；有人；重要人物","some（一些）+ one（人）","Someone is knocking at the door.","有人在敲门。"
"fine","/faɪn/","adj. 【常见】好的；晴朗的；精细的；n. 【常见】罚款；v. 【常见】罚款","原生基础词，源自拉丁语 finis（终结、界限），无词根拆分","I'm fine, thank you.","我很好，谢谢。"
"thanks","/θæŋks/","n. 【常见】感谢；谢意（thank 的复数）；int. 【常见】谢谢","thank（感谢）+ 后缀-s（名词复数）","Thanks for your help.","谢谢你的帮助。"
"wanted","/ˈwɒntɪd/","v. 【常见】想要（want 的过去式及过去分词）；adj. 【常见】被通缉的","want（想要）+ 后缀-ed（过去式/过去分词后缀）","I wanted to call you.","我想给你打电话。"
"kind","/kaɪnd/","n. 【常见】种类；adj. 【常见】善良的；友好的","原生基础词，古英语 gecynd（自然、种类），无词根拆分","She is a kind person.","她是一个善良的人。"
"coming","/ˈkʌmɪŋ/","v. 【常见】来（come 的现在分词）；adj. 【常见】即将到来的","come（来）+ 后缀-ing（现在分词后缀）","The bus is coming.","公交车来了。"
"house","/haʊs/","n. 【常见】房屋；住宅；公司；v. 【常见】提供住房","原生基础词，古英语 hūs，无词根拆分","My house is near the school.","我的房子在学校附近。"
"every","/ˈevri/","adj. 【常见】每一的；每个的；每隔…的","原生基础词，古英语 ǣfre ǣlc（ever each）演化而来，无词根拆分","Every student has a book.","每个学生都有一本书。"
"ok","/əʊˈkeɪ/","adj. 【常见】好的；可以；n. 【常见】同意；批准","缩略口语词，无词根拆分","Everything is OK.","一切都好。"
"through","/θruː/","prep. 【常见】穿过；通过；凭借；adv. 【常见】穿过；完全","原生基础词，古英语 þurh，无词根拆分","We walked through the park.","我们穿过了公园。"
"being","/ˈbiːɪŋ/","v. 【常见】是；在（be 的现在分词）；n. 【常见】存在；生物","be（是）+ 后缀-ing（现在分词后缀）","I am being serious.","我是认真的。"
"course","/kɔːs/","n. 【常见】课程；过程；一道菜；adv. 【常见】当然（of course）","原生基础词，源自拉丁语 cursus（奔跑），无词根拆分","Of course I will help you.","我当然会帮你。"
"stay","/steɪ/","v. 【常见】停留；保持；暂住；n. 【常见】停留","原生基础词，源自拉丁语 stare（站立），无词根拆分","Stay here, please.","请留在这里。"
"left","/left/","v. 【常见】离开（leave 的过去式及过去分词）；adj. 【常见】左边的；剩余的","leave（离开）+ 后缀-ed（过去式/过去分词后缀）","I left my phone at home.","我把手机忘在家里了。"
