"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"works","/wɜːks/","v. 【常见】工作（work 的第三人称单数）；n. 【常见】作品；工厂（work 的复数）","work（工作）+ 后缀-s（第三人称单数/复数后缀）","She works in a hospital.","她在医院工作。"
"act","/ækt/","v. 【常见】行动；表演；起作用；n. 【常见】行为；法令；幕","原生基础词，源自拉丁语 agere（做、行动），无词根拆分","We must act quickly.","我们必须迅速行动。"
"needed","/ˈniːdɪd/","v. 【常见】需要（need 的过去式及过去分词）","need（需要）+ 后缀-ed（过去式/过去分词后缀）","I needed more time.","我需要更多时间。"
"weird","/wɪəd/","adj. 【常见】奇怪的；古怪的；n. 【常见】命运","原生基础词，古英语 wyrd（命运），无词根拆分","That's weird.","那很奇怪。"
"law","/lɔː/","n. 【常见】法律；法规；定律；v. 【常见】起诉","原生基础词，古英语 lagu（法律），无词根拆分","We must obey the law.","我们必须遵守法律。"
"worried","/ˈwʌrid/","adj. 【常见】担心的；烦恼的；v. 【常见】担心（worry 的过去分词）","worry（担心）+ 后缀-ed（过去分词后缀）","I'm worried about you.","我担心你。"
"report","/rɪˈpɔːt/","v. 【常见】报告；报道；n. 【常见】报告；报道","前缀re-（回）+ 词根port-（搬运）","I need to report this to the police.","我需要向警察报告这件事。"
"goodbye","/ˌɡʊdˈbaɪ/","int. 【常见】再见；n. 【常见】告别","good（好）+ bye（再见）","Goodbye, my friend.","再见，我的朋友。"
"missing","/ˈmɪsɪŋ/","v. 【常见】想念；错过（miss 的现在分词）；adj. 【常见】失踪的；缺少的","miss（想念/错过）+ 后缀-ing（现在分词后缀）","My keys are missing.","我的钥匙不见了。"
"choice","/tʃɔɪs/","n. 【常见】选择；抉择；adj. 【常见】精选的","choose（选择）+ 名词形态变化","It's your choice.","这是你的选择。"
"happening","/ˈhæpənɪŋ/","v. 【常见】发生（happen 的现在分词）；n. 【常见】事件；活动","happen（发生）+ 后缀-ing（现在分词/名词后缀）","What's happening?","发生什么事了？"
"chief","/tʃiːf/","n. 【常见】首领；酋长；adj. 【常见】主要的；首席的","原生基础词，源自拉丁语 caput（头），无词根拆分","He is the chief of the tribe.","他是部落的首领。"
"wedding","/ˈwedɪŋ/","n. 【常见】婚礼；结婚纪念日","wed（结婚）+ 后缀-ing（名词后缀）","I attended a wedding yesterday.","我昨天参加了一场婚礼。"
"strange","/streɪndʒ/","adj. 【常见】奇怪的；陌生的；n. 【常见】奇怪的事","原生基础词，源自拉丁语 extraneus（外来的），无词根拆分","She is a strange person.","她是一个奇怪的人。"
"general","/ˈdʒenrəl/","adj. 【常见】一般的；普通的；n. 【常见】将军","原生基础词，源自拉丁语 generalis（普通的），无词根拆分","In general, I agree with you.","总的来说，我同意你。"
"pain","/peɪn/","n. 【常见】疼痛；痛苦；v. 【常见】使痛苦","原生基础词，源自拉丁语 poena（惩罚），无词根拆分","I feel a sharp pain.","我感到一阵剧痛。"
"'am","/æm/","v. 【常见】是（be 的第一人称单数现在式，非正式写法）","am 的写法变体，无词根拆分","I'am sorry.","我很抱歉。"
"kidding","/ˈkɪdɪŋ/","v. 【常见】开玩笑（kid 的现在分词）","kid（开玩笑）+ 后缀-ing（现在分词后缀）","Are you kidding me?","你在跟我开玩笑吗？"
"decided","/dɪˈsaɪdɪd/","v. 【常见】决定（decide 的过去式及过去分词）；adj. 【常见】明确的","decide（决定）+ 后缀-ed（过去式/过去分词后缀）","I decided to go.","我决定去。"
"ya","/jə/","pron. 【常见】你（you 的口语变体）；int. 【常见】呀（表示同意）","you 的口语变体，无词根拆分","See ya later!","回头见！"
