英文单词,音标,中文释义,语素（前缀/词根/后缀）及含义,英语例句,例句翻译
here,/hɪə(r)/,adv. 【常见】在这里；这里；此时,原生基础词，古英语 hēr，无词根拆分,"Come here, please.",请过来这里。
they,/ðeɪ/,pron. 【常见】他们；她们；它们,原生基础词，古英语 þā（主格复数），无词根拆分,They are my friends.,他们是我的朋友。
like,/laɪk/,v. 【常见】喜欢；prep. 【常见】像；adj. 【常见】相似的；conj. 【常见】如同,原生基础词，古英语 līcian（喜欢），无词根拆分,I like this book.,我喜欢这本书。
'll,/l/,modal v. 【常见】将要；【常见】会（表将来、意愿、请求）will 的缩略形式（I'll = I will）,原生基础词，will 的缩略形式，无词根拆分,I'll be there at 5.,我五点会到那里。
get,/ɡet/,v. 【常见】获得；到达；变得；明白,原生基础词，古英语 gietan，无词根拆分,I get up at six.,我六点起床。
she,/ʃiː/,pron. 【常见】她（主格）,原生基础词，古英语 hēo，无词根拆分,She is a doctor.,她是一名医生。
go,/ɡəʊ/,v. 【常见】去；走；变为；运行,原生基础词，古英语 gān，无词根拆分,I go to work by car.,我开车去上班。
if,/ɪf/,conj. 【常见】如果；是否；即使,原生基础词，古英语 gif，无词根拆分,"If you study hard, you will pass.",如果你努力学习，你会通过的。
right,/raɪt/,adj. 【常见】正确的；右边的；adv. 【常见】正确地；立刻；n. 【常见】权利；右边,原生基础词，古英语 riht（直的、正确的），无词根拆分,You are right.,你是对的。
out,/aʊt/,adv. 【常见】向外；在外；出来；prep. 【常见】通过…向外,原生基础词，古英语 ūt，无词根拆分,Get out of here.,离开这里。
about,/əˈbaʊt/,prep. 【常见】关于；大约；adv. 【常见】大约；周围,原生基础词，古英语 abūtan（a-在 + būtan外面），无词根拆分,Tell me about it.,告诉我关于它的事。
up,/ʌp/,adv. 【常见】向上；在上面；prep. 【常见】在…上面；adj. 【常见】向上的,原生基础词，古英语 ūp，无词根拆分,"Stand up, please.",请站起来。
at,/æt/,prep. 【常见】在（地点/时间）；向；朝,原生基础词，古英语 æt，无词根拆分,I am at school.,我在学校。
him,/hɪm/,pron. 【常见】他（宾格）,原生基础词，古英语 him，无词根拆分,I saw him yesterday.,我昨天看见他了。
now,/naʊ/,adv. 【常见】现在；此刻；如今；conj. 【常见】既然,原生基础词，古英语 nū，无词根拆分,I am busy now.,我现在很忙。
oh,/əʊ/,int. 【常见】哦；啊（表示惊讶、高兴、痛苦等）,原生基础词，无词根拆分,"Oh, really?",哦，真的吗？
one,/wʌn/,num. 【常见】一；pron. 【常见】一个人；adj. 【常见】一个的,原生基础词，古英语 ān，无词根拆分,One and one is two.,一加一等于二。
come,/kʌm/,v. 【常见】来；来到；出现；成为,原生基础词，古英语 cuman，无词根拆分,"Come here, please.",请过来。
well,/wel/,adv. 【常见】好；令人满意地；int. 【常见】嗯；adj. 【常见】健康的,原生基础词，古英语 wel，无词根拆分,She sings well.,她唱得很好。
her,/hɜː(r)/,pron. 【常见】她（宾格）；她的,原生基础词，古英语 hire，无词根拆分,I gave her a gift.,我给了她一份礼物。
