"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"little","/ˈlɪtl/","adj. 【常见】小的；【常见】少的；adv. 【常见】稍许；pron. 【常见】少量","原生基础词，古英语 lȳtel，无词根拆分","I have little money left.","我没剩多少钱了。"
"please","/pliːz/","int. 【常见】请；v. 【常见】使高兴；使满意","原生基础词，源自拉丁语 placēre（使满意），无词根拆分","Please sit down.","请坐下。"
"love","/lʌv/","v. 【常见】爱；【常见】喜欢；热爱；n. 【常见】爱；爱情；爱好","原生基础词，古英语 lufu，无词根拆分","I love my family.","我爱我的家人。"
"should","/ʃʊd/","aux. 【常见】应该；将会；可能（shall 的过去式）","原生基础词，古英语 sceolde（shall的过去式），无词根拆分","You should study harder.","你应该更努力学习。"
"mean","/miːn/","v. 【常见】意思是；【常见】意味着；打算；adj. 【常见】吝啬的；刻薄的","原生基础词，古英语 mǣnan，无词根拆分","What does this word mean?","这个单词是什么意思？"
"said","/sed/","v. 【常见】说（say 的过去式及过去分词）","原生基础词，古英语 sægde（say的过去式），无词根拆分","He said he would come.","他说他会来。"
"sorry","/ˈsɒri/","adj. 【常见】抱歉的；【常见】遗憾的；对不起的","原生基础词，古英语 sārig（悲伤的），无词根拆分","I'm sorry for being late.","对不起，我迟到了。"
"give","/ɡɪv/","v. 【常见】给；【常见】赠送；付出；提供","原生基础词，古英语 giefan，无词根拆分","Please give me the book.","请把书给我。"
"off","/ɒf/","adv. 【常见】离开；【常见】关掉；prep. 【常见】从…离开；adj. 【常见】休息的","原生基础词，古英语 of（从、离开），无词根拆分","Turn off the light.","关掉灯。"
"am","/æm/","v. 【常见】是（be 的第一人称单数现在式）","原生基础词，古英语 eom，无词根拆分","I am a student.","我是一名学生。"
"thank","/θæŋk/","v. 【常见】感谢；【常见】谢谢；n. 【常用复数】感谢；谢意","原生基础词，古英语 þancian，无词根拆分","Thank you for your help.","谢谢你的帮助。"
"any","/ˈeni/","adj. 【常见】任何；一些；pron. 【常见】任何一个","原生基础词，古英语 ǣnig，无词根拆分","Do you have any questions?","你有任何问题吗？"
"two","/tuː/","num. 【常见】二；两个","原生基础词，古英语 twā，无词根拆分","I have two brothers.","我有两个兄弟。"
"even","/ˈiːvn/","adv. 【常见】甚至；【常见】更；adj. 【常见】平坦的；【常见】偶数的；v. 【常见】使平坦","原生基础词，古英语 efen（相等、平坦），无词根拆分","Even a child can do it.","甚至一个小孩都能做到。"
"much","/mʌtʃ/","adv. 【常见】非常；【常见】很；adj. 【常见】许多的；大量的；pron. 【常见】大量","原生基础词，古英语 mycel，无词根拆分","Thank you very much.","非常感谢你。"
"doing","/ˈduːɪŋ/","v. 【常见】做（do 的现在分词）；n. 【常见】行为；活动","do（做）+ 后缀-ing（现在分词后缀）","What are you doing?","你在做什么？"
"sure","/ʃʊə(r)/","adj. 【常见】确信的；【常见】肯定的；adv. 【常见】当然；确实","原生基础词，源自拉丁语 secūrus（安全的），无词根拆分","I'm sure he will come.","我确信他会来。"
"thing","/θɪŋ/","n. 【常见】东西；【常见】事情；事物；情况","原生基础词，古英语 þing（集会、事物），无词根拆分","What is that thing?","那个东西是什么？"
"these","/ðiːz/","pron. 【常见】这些；adj. 【常见】这些的","原生基础词，古英语 þās（this的复数），无词根拆分","These apples are fresh.","这些苹果很新鲜。"
"help","/help/","v. 【常见】帮助；【常见】援助；n. 【常见】帮助；助手","原生基础词，古英语 helpan，无词根拆分","Can you help me?","你能帮我吗？"
