"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"special","/ˈspeʃl/","adj. 【常见】特殊的；特别的；专门的；n. 【常见】特别的东西","词根spec-（看、种类）+ 后缀-ial（形容词后缀）","Today is a special day.","今天是特别的一天。"
"parents","/ˈpeərənts/","n. 【常见】父母；双亲（parent 的复数）","parent（父母）+ 后缀-s（复数后缀）","My parents are both teachers.","我父母都是老师。"
"s","/es/","n. 【常见】字母 S；n. 【常见】复数/所有格后缀；【常见】is/has 的缩略形式","原生基础词，字母名，无词根拆分","It's a beautiful day.","今天天气很好。"
"john","/dʒɒn/","n. 【常见】约翰（男子名）；【常见】厕所（俚语）","原生基础词，源自希伯来语 Yohanan（上帝的恩典），无词根拆分","John is my friend.","约翰是我的朋友。"
"himself","/hɪmˈself/","pron. 【常见】他自己；他亲自","him（他宾格）+ self（自己）","He hurt himself.","他伤到了自己。"
"perhaps","/pəˈhæps/","adv. 【常见】也许；可能；恐怕","per-（通过）+ hap（运气）","Perhaps it will rain.","也许会下雨。"
"sounds","/saʊndz/","v. 【常见】听起来（sound 的第三人称单数）；n. 【常见】声音（sound 的复数）","sound（声音/听起来）+ 后缀-s（第三人称单数/复数后缀）","That sounds great.","那听起来很棒。"
"serious","/ˈsɪəriəs/","adj. 【常见】严肃的；认真的；严重的；重要的","原生基础词，源自拉丁语 serius（严肃的），无词根拆分","Are you serious?","你是认真的吗？"
"sick","/sɪk/","adj. 【常见】生病的；恶心的；厌倦的；n. 【常见】病人","原生基础词，古英语 sēoc，无词根拆分","I feel sick.","我觉得不舒服。"
"company","/ˈkʌmpəni/","n. 【常见】公司；陪伴；客人；v. 【常见】陪伴","前缀com-（共同）+ 词根pan-（面包），原指"一起吃饭的人"","He works for a big company.","他为一家大公司工作。"
"ha","/hɑː/","int. 【常见】哈（表示笑声、惊讶或胜利）","原生基础词，拟声词，无词根拆分","Ha! I knew it!","哈！我就知道！"
"scared","/skeəd/","adj. 【常见】害怕的；恐惧的；v. 【常见】使害怕（scare 的过去分词）","scare（使害怕）+ 后缀-ed（过去分词后缀）","I'm scared of dogs.","我害怕狗。"
"uncle","/ˈʌŋkl/","n. 【常见】叔叔；舅舅；伯伯；姑父；姨父","原生基础词，源自拉丁语 avunculus（母舅），无词根拆分","My uncle is a doctor.","我叔叔是医生。"
"poor","/pɔː(r)/","adj. 【常见】贫穷的；可怜的；差的；n. 【常见】穷人","原生基础词，源自拉丁语 pauper（穷的），无词根拆分","He is a poor man.","他是个穷人。"
"red","/red/","adj. 【常见】红色的；n. 【常见】红色","原生基础词，古英语 rēad，无词根拆分","She has a red car.","她有一辆红色汽车。"
"past","/pɑːst/","n. 【常见】过去；adj. 【常见】过去的；prep. 【常见】经过；超过","pass（经过）+ 后缀-ed（过去分词后缀）","I studied history in the past.","我过去学过历史。"
"earth","/ɜːθ/","n. 【常见】地球；陆地；土壤；v. 【常见】接地","原生基础词，古英语 eorþe，无词根拆分","The earth is round.","地球是圆的。"
"possible","/ˈpɒsəbl/","adj. 【常见】可能的；潜在的；n. 【常见】可能的人/物","词根poss-（能够）+ 后缀-ible（可…的）","It is possible to succeed.","成功是可能的。"
"shoot","/ʃuːt/","v. 【常见】射击；拍摄；射门；n. 【常见】嫩芽；拍摄","原生基础词，古英语 scēotan，无词根拆分","He wants to shoot a film.","他想拍一部电影。"
"touch","/tʌtʃ/","v. 【常见】触摸；接触；感动；n. 【常见】触觉；接触","原生基础词，源自拉丁语 tangere（触摸），无词根拆分","Don't touch the wet paint.","别碰未干的油漆。"
