英文单词,音标,中文释义,语素（前缀/词根/后缀）及含义,英语例句,例句翻译
keep,/kiːp/,v. 【常见】保持；继续；保存；饲养 n. 生计,原生基础词，古英语 cēpan，无词根拆分,"Keep quiet, please.",请保持安静。
long,/lɒŋ/,adj. 【常见】长的；长期的 adv. 长久 n. 长时间,原生基础词，古英语 lang，无词根拆分,The snake is long.,这条蛇很长。
years,/jɪəz/,n. 【常见】年；年份；年龄（year 的复数）,year（年）+ 后缀-s（复数后缀）,He is ten years old.,他十岁了。
leave,/liːv/,v. 【常见】离开；留下；遗忘；使处于 n. 休假,原生基础词，古英语 lǣfan，无词根拆分,I leave home at seven.,我七点离开家。
does,/dʌz/,v. 【常见】做（do 的第三人称单数现在式）；aux. 用于构成疑问/否定,原生基础词，古英语 dēþ（do的第三人称），无词根拆分,He does his homework every day.,他每天都做作业。
money,/ˈmʌni/,n. 【常见】钱；货币；财富,原生基础词，源自拉丁语 moneta（铸币厂），无词根拆分,I don't have much money.,我没有很多钱。
around,/əˈraʊnd/,adv. 【常见】在周围；大约；prep. 【常见】在…周围；环绕,a-（在…状态）+ round（圆、周围）,Look around you.,看看你周围。
doesn,/ˈdʌznt/,【常见】不；没有；does not 的缩略形式（doesn't = does not）,does（do的第三人称）+ not（不）的缩略形式,He doesn't like coffee.,他不喜欢咖啡。
name,/neɪm/,n. 【常见】名字；姓名；名誉；v. 【常见】命名；说出,原生基础词，古英语 nama，无词根拆分,My name is Tom.,我的名字是汤姆。
place,/pleɪs/,n. 【常见】地方；场所；位置；座位；v. 【常见】放置；安排,原生基础词，源自拉丁语 platea（街道），无词根拆分,This is a beautiful place.,这是一个美丽的地方。
ever,/ˈevə(r)/,adv. 【常见】曾经；在任何时候；究竟,原生基础词，古英语 ǣfre，无词根拆分,Have you ever been to China?,你曾经去过中国吗？
feel,/fiːl/,v. 【常见】感觉；摸；认为；觉得,原生基础词，古英语 fēlan，无词根拆分,I feel cold.,我觉得冷。
guys,/ɡaɪz/,n. 【常见】家伙们；伙计们（guy 的复数，口语中常用来称呼一群人）,guy（家伙）+ 后缀-s（复数后缀）,"Hey guys, what's up?",嘿伙计们，怎么样？
father,/ˈfɑːðə(r)/,n. 【常见】父亲；爸爸；创始人；神父,原生基础词，古英语 fæder，无词根拆分,My father is a teacher.,我父亲是一名教师。
guy,/ɡaɪ/,n. 【常见】家伙；男人；小伙子,原生基础词，源自人名 Guy（盖伊），无词根拆分,He is a nice guy.,他是个好人。
made,/meɪd/,v. 【常见】制造；做；使（make 的过去式及过去分词）,原生基础词，古英语 macode（make的过去式），无词根拆分,She made a cake.,她做了一个蛋糕。
old,/əʊld/,adj. 【常见】老的；旧的；古老的；n. 【常见】老年人,原生基础词，古英语 eald，无词根拆分,My grandfather is old.,我的祖父老了。
isn,/ˈɪznt/,【常见】不是；并不；is not 的缩略形式（isn't = is not）,is（是）+ not（不）的缩略形式,He isn't a teacher.,他不是老师。
which,/wɪtʃ/,pron. 【常见】哪个；哪一些；…的那个；adj. 【常见】哪个,原生基础词，古英语 hwilc，无词根拆分,Which one do you want?,你想要哪一个？
big,/bɪɡ/,adj. 【常见】大的；巨大的；重要的；adv. 【常见】大大地,原生基础词，无词根拆分,The elephant is big.,大象很大。
